"vessel_name","MMSI","Flag","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock_tem","at_dock_tak","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"LU RONG YUAN YU 219","627230000","CHN","fishing","low","fishing","inconclusive","GHA","TEMA",2024-11-06 11:36:02,4,2025-03-07 10:08:49,3,120.9,"TEMA",NA,NA,TRUE,18.3194444444444,"GHA",FALSE,"IWC, ICCAT, FCWC, ACAP, NAMMCO",FALSE,NA,TRUE,1,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b046a8d10-0775-f480-6d81-6520604745ff?&start=2024-11-04&end=2025-03-09"")"
"HAI LU FENG 5","627197000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-02-02 08:20:54,4,2025-02-26 06:15:52,4,23.9,"TEMA",TRUE,NA,TRUE,1526.36111111111,"GHA",FALSE,"FCWC, NAMMCO, ICCAT, ACAP, IWC",FALSE,NA,TRUE,4,34.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/809277b93-3695-db80-5f3c-94046096e581?&start=2025-01-31&end=2025-02-28"")"
"LONG XIANG 608","627218000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2024-12-09 16:43:30,4,2025-02-12 13:34:02,4,64.8,"TEMA",NA,NA,TRUE,260.591666666667,"GHA",FALSE,"ACAP, NAMMCO, FCWC, ICCAT, IWC",FALSE,NA,TRUE,8,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b2c9ef9fb-b587-9e2e-e8d8-76cdf3eca74d?&start=2024-12-07&end=2025-02-14"")"
"CASSIOPEA","277397000","LTU","carrier","high","carrier","carrier","BEN","COTONOU",2025-02-27 13:17:30,4,2025-02-28 01:45:18,4,0.5,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7483bb953-3a1d-a5b3-c25b-3c87872cbc7b?&start=2025-02-25&end=2025-03-02"")"
"AVUNDA REEFER","352351000","PAN","carrier","high","carrier","carrier","CIV","ABIDJAN",2025-02-08 21:46:52,4,2025-02-10 02:13:13,4,1.2,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/665ebd33c-c956-3093-dee2-b41b11d83307?&start=2025-02-06&end=2025-02-12"")"
"HAILUFENG 4","627196000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-02-12 01:53:36,4,2025-02-18 10:23:08,4,6.3,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,7.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/758c86bb6-6388-85c4-fcc1-1c2453916ca1?&start=2025-02-10&end=2025-02-20"")"
"AURIGA","277571000","LTU","carrier","high","carrier","carrier","TGO","LOME",2025-01-20 13:40:44,4,2025-01-20 20:42:57,4,0.3,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/39ffd32aa-a7c1-8dd2-7f5e-e709114627dd?&start=2025-01-18&end=2025-01-22"")"
"STAR PRIMA","311000958","BHS","carrier","low","other","other","CMR","DOUALA",2025-01-27 16:33:48,4,2025-01-29 10:50:58,4,1.8,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3997f5344-4346-5b2b-e215-f5932f787437?&start=2025-01-25&end=2025-01-31"")"
"KUANG YING NO 12","416005726","TWN","fishing","high","fishing","drifting_longlines","ZAF","CAPE TOWN",2024-11-22 16:52:25,4,2025-01-10 08:23:23,4,48.6,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/42734248a-a0e1-6072-5556-4615c095691e?&start=2024-11-20&end=2025-01-12"")"
"COTE DIVOIRE EXPRESS","563237900","SGP","carrier","low","other","other","CMR","DOUALA",2025-01-20 21:18:47,4,2025-01-22 14:42:29,4,1.7,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c101e6df7-7c74-f0bd-dff3-8cf9eb76b89b?&start=2025-01-18&end=2025-01-24"")"
"LONG XIANG 609","627219000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2024-12-09 17:49:54,4,2025-01-02 19:43:57,4,24,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8e3b668de-e595-867b-cd00-d4dabca233ee?&start=2024-12-07&end=2025-01-04"")"
"CARIBBEAN STAR","636013068","LBR","carrier","low","carrier","carrier","CMR","DOUALA",2025-02-02 07:45:20,4,2025-02-04 05:39:37,4,1.9,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-01-31&end=2025-02-06"")"
"MENG XIN 7","627180000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-02-04 18:28:13,4,2025-03-03 06:32:41,4,26.5,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3828d8fce-ec6d-5d62-5c30-cd38c9657b26?&start=2025-02-02&end=2025-03-05"")"
"CAMEROUN EXPRESS","563229800","SGP","carrier","low","other","other","CMR","DOUALA",2025-02-05 23:10:48,4,2025-02-07 13:27:02,4,1.6,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7bf03aa76-6d87-6b95-cc07-490ae627673d?&start=2025-02-03&end=2025-02-09"")"
"HAI LU FENG 1","627193000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-02-09 12:31:11,4,2025-03-11 02:57:23,4,29.6,"TEMA",TRUE,NA,TRUE,786.919444444445,"GHA",FALSE,"ACAP, IWC, ICCAT, FCWC, NAMMCO",FALSE,NA,TRUE,5,29.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bec001482-28f1-96e2-4581-4ddd855d729d?&start=2025-02-07&end=2025-03-13"")"
"HAILUFENG 4","627196000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-02-18 12:45:31,4,2025-03-10 20:50:12,4,20.3,"TEMA",TRUE,NA,TRUE,152.263888888889,"GHA",FALSE,"ACAP, NAMMCO, FCWC, ICCAT, IWC",FALSE,NA,FALSE,NA,6.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/758c86bb6-6388-85c4-fcc1-1c2453916ca1?&start=2025-02-16&end=2025-03-12"")"
"HAILUFENG3","627195000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-02-13 11:45:03,4,2025-02-19 21:16:27,4,6.4,"SEKONDI-TAKORADI",NA,NA,TRUE,193.455555555556,"GHA",FALSE,"FCWC, ACAP, ICCAT, IWC, NAMMCO",FALSE,NA,FALSE,NA,27.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6cc0050df-f7d6-01da-cee2-93757fc4745f?&start=2025-02-11&end=2025-02-21"")"
"STAR CARE","566341000","SGP","carrier","high","carrier","carrier","CMR","DOUALA",2025-01-15 06:14:36,4,2025-01-16 23:45:41,4,1.7,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8d3e0dff3-30a0-fa27-5fb8-4ea5cecdd00e?&start=2025-01-13&end=2025-01-18"")"
"HAILUFENG3","627195000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-01-03 19:01:11,4,2025-02-02 01:07:55,4,29.3,"TEMA",NA,NA,TRUE,336.577777777778,"GHA",FALSE,"ICCAT, IWC, FCWC, ACAP, NAMMCO",FALSE,NA,TRUE,5,16.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6cc0050df-f7d6-01da-cee2-93757fc4745f?&start=2025-01-01&end=2025-02-04"")"
"GAGDDMG","412209163","CHN","fishing","med","fishing","inconclusive","GHA","SEKONDI-TAKORADI",2025-01-30 22:55:24,4,2025-02-11 21:16:34,4,11.9,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b6190ac7f-f3fa-efec-1b86-122ae6e1ef38?&start=2025-01-28&end=2025-02-13"")"
"MARTA REEFER","355295000","PAN","carrier","high","carrier","carrier","MRT","CANSADO",2024-12-30 15:18:00,4,2025-01-07 20:05:51,4,8.2,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,1,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bcb7b9666-6e7b-c035-a144-c0c6a909f2a3?&start=2024-12-28&end=2025-01-09"")"
"HAILUFENG 4","627196000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-02-09 11:49:12,4,2025-02-09 21:28:59,4,0.4,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,18.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/758c86bb6-6388-85c4-fcc1-1c2453916ca1?&start=2025-02-07&end=2025-02-11"")"
"HAVOVR 1","422223000","IRN","fishing","high","fishing","tuna_purse_seines","ARE","SHARJAH ANCHORAGE",2024-12-28 15:19:00,4,2025-03-12 07:24:21,3,73.7,"TEMA",NA,NA,TRUE,268.314722222222,"ZAF, MOZ, ATF, COM",TRUE,"ACAP, ICCAT, CCSBT-Primary-Area, IOTC, SIOFA, SWIOFC, CCSBT, IWC",FALSE,NA,TRUE,10,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ffff25fcc-c834-5ff3-4ea8-53428fc2537e?&start=2024-12-26&end=2025-03-14"")"
"COLOMBIAN STAR","636014240","LBR","carrier","low","carrier","carrier","CMR","DOUALA",2025-02-10 17:14:04,4,2025-02-12 09:08:42,4,1.6,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-02-08&end=2025-02-14"")"
"COTE D IVOIRIAN STAR","636014241","LBR","carrier","low","carrier","carrier","CMR","DOUALA",2025-01-12 03:54:51,4,2025-01-13 23:30:59,4,1.8,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c24029a18-8c22-ebb8-d92d-02fc96ad2d26?&start=2025-01-10&end=2025-01-15"")"
"HAILUFENG 4","627196000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2024-12-09 22:00:12,4,2025-02-01 23:09:16,4,54,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/758c86bb6-6388-85c4-fcc1-1c2453916ca1?&start=2024-12-07&end=2025-02-03"")"
