"vessel_name","MMSI","Flag","flag_ais","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","dak_general","dak_fishing","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"FU YUAN YU 7857","412440842","CHN","CHN",NA,"fishing","high","fishing","drifting_longlines","SEN","DAKAR",2024-09-20 01:47:13,4,2025-03-27 09:21:18,4,188.3,"DAKAR",TRUE,TRUE,TRUE,2206.47611111111,NA,TRUE,"ACAP, NAMMCO, IWC, ICCAT",FALSE,NA,TRUE,9,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/37d18a147-79f8-1fdc-3e0d-2baa5b6f4631?&start=2024-09-18&end=2025-03-29"")"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","CIV","ABIDJAN",2025-01-30 14:29:35,4,2025-02-02 17:14:33,4,3.1,"DAKAR",FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-01-28&end=2025-02-04"")"
"TIANG EI HU","412209083","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-03-11 09:38:03,4,2025-03-28 13:21:12,4,17.1,"DAKAR",FALSE,TRUE,TRUE,8.90833333333334,"SEN, GNB",FALSE,"ICCAT, IWC, SRFC, NAMMCO, ACAP",FALSE,NA,TRUE,18,10.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/364511e7e-ec82-68e9-2702-2ec05725207d?&start=2025-03-09&end=2025-03-30"")"
"CAMEROUN EXPRESS","563229800","SGP","SGP","9983865","carrier","low","other","other","MAR","AGADIR",2025-02-27 18:30:07,4,2025-03-02 07:33:05,4,2.5,"DAKAR",FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7bf03aa76-6d87-6b95-cc07-490ae627673d?&start=2025-02-25&end=2025-03-04"")"
"GUOJIN901","412549196","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2024-10-10 06:56:30,4,2025-02-01 20:24:23,4,114.5,"DAKAR",FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e1978b237-794c-1a7d-171c-6c11f629c154?&start=2024-10-08&end=2025-02-03"")"
"LA PINTA R","224175000","ESP","ESP",NA,"fishing","high","fishing","trawlers","GAB","PORT GENTIL",2025-02-19 11:30:53,4,2025-02-28 11:39:25,4,9,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,79.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c17075854-49bb-6c86-ad25-6b9f2d6f6ddd?&start=2025-02-17&end=2025-03-02"")"
"CARIBBEAN STAR","636013068","LBR","LBR","9150810","carrier","low","carrier","carrier","CIV","ABIDJAN",2025-02-06 13:40:26,4,2025-02-09 22:35:07,4,3.3,"DAKAR",FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-02-04&end=2025-02-11"")"
"DOCE DE JULIO","224910000","ESP","ESP","9978107","fishing","med","fishing","inconclusive","SEN","DAKAR",2024-11-21 18:50:53,4,2025-01-01 09:25:00,4,40.6,"DAKAR",TRUE,TRUE,TRUE,10092.3347222222,"SEN, GNB",FALSE,"NAMMCO, ACAP, ICCAT, IWC, SRFC",FALSE,NA,TRUE,2,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6409b3d06-613e-008e-4380-d7f8cd30019e?&start=2024-11-19&end=2025-01-03"")"
"YIFENG 09","412200998","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-03-09 16:40:24,4,2025-03-14 12:22:51,4,4.8,"DAKAR",FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,6,57.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/25ecd2d23-37dd-a0cd-0b59-a2fc2e477601?&start=2025-03-07&end=2025-03-16"")"
"HAIXIN28","412201872","CHN","CHN",NA,"fishing","med","fishing","inconclusive","CHN","DALIAN",2015-12-01 18:03:24,3,2025-01-09 12:07:48,4,3326.8,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/091267662-2761-8637-0d75-4cd332968347?&start=2015-11-29&end=2025-01-11"")"
