vessel_name,MMSI,Flag,flag_ais,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,dak_general,dak_fishing,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,percent_ais_voyage,vv_url
CURBEIRO,224106000,ESP,ESP,9194191,fishing,high,fishing,trawlers,ESP,BUEU,23/01/2025 12:47,4,31/01/2025 11:48,4,8,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/abfdf22f1-145b-2a91-3e6b-7acb899cd1d7?&start=2025-01-21&end=2025-02-02
GUOJIN901,412549196,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,13/02/2025 17:31,4,26/02/2025 17:59,4,13,DAKAR,TRUE,FALSE,TRUE,3810.15,SEN,FALSE,"IWC, ICCAT, ACAP, NAMMCO, SRFC",TRUE,4,TRUE,4,100,https://globalfishingwatch.org/map/vessel/e1978b237-794c-1a7d-171c-6c11f629c154?&start=2025-02-11&end=2025-02-28
PEIX MAR VEINTINUEVE,224372000,ESP,ESP,NA,fishing,high,fishing,trawlers,GNB,BISSAU,31/01/2025 22:21,4,14/03/2025 07:12,4,41.3,DAKAR,TRUE,TRUE,TRUE,8875.941667,"SEN, GNB",FALSE,"ICCAT, SRFC, IWC, NAMMCO, ACAP",FALSE,NA,FALSE,NA,94.3,https://globalfishingwatch.org/map/vessel/0e7b1acdf-f7c8-f125-35fc-f22f72aa558d?&start=2025-01-29&end=2025-03-16
FU YUAN YU 7857,412440842,CHN,CHN,NA,fishing,high,fishing,drifting_longlines,SEN,DAKAR,20/09/2024 01:47,4,27/03/2025 09:21,4,188.3,DAKAR,TRUE,TRUE,TRUE,2206.476111,NA,TRUE,"ACAP, NAMMCO, IWC, ICCAT",FALSE,NA,TRUE,9,NA,https://globalfishingwatch.org/map/vessel/37d18a147-79f8-1fdc-3e0d-2baa5b6f4631?&start=2024-09-18&end=2025-03-29
TIANG EI HU,412209083,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,11/03/2025 09:38,4,28/03/2025 13:21,4,17.1,DAKAR,FALSE,TRUE,TRUE,8.908333333,"SEN, GNB",FALSE,"ICCAT, IWC, SRFC, NAMMCO, ACAP",FALSE,NA,TRUE,18,10.2,https://globalfishingwatch.org/map/vessel/364511e7e-ec82-68e9-2702-2ec05725207d?&start=2025-03-09&end=2025-03-30
GUOJIN901,412549196,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,10/10/2024 06:56,4,01/02/2025 20:24,4,114.5,DAKAR,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/e1978b237-794c-1a7d-171c-6c11f629c154?&start=2024-10-08&end=2025-02-03
LA PINTA R,224175000,ESP,ESP,NA,fishing,high,fishing,trawlers,GAB,PORT GENTIL,19/02/2025 11:30,4,28/02/2025 11:39,4,9,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,79.7,https://globalfishingwatch.org/map/vessel/c17075854-49bb-6c86-ad25-6b9f2d6f6ddd?&start=2025-02-17&end=2025-03-02
DOCE DE JULIO,224910000,ESP,ESP,9978107,fishing,med,fishing,trawlers,SEN,DAKAR,21/11/2024 18:50,4,01/01/2025 09:25,4,40.6,DAKAR,TRUE,TRUE,TRUE,10092.33472,"SEN, GNB",FALSE,"NAMMCO, ACAP, ICCAT, IWC, SRFC",FALSE,NA,TRUE,2,NA,https://globalfishingwatch.org/map/vessel/6409b3d06-613e-008e-4380-d7f8cd30019e?&start=2024-11-19&end=2025-01-03
YIFENG 09,412200998,CHN,CHN,NA,fishing,low,fishing,trawlers,SEN,DAKAR,09/03/2025 16:40,4,14/03/2025 12:22,4,4.8,DAKAR,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,6,57.3,https://globalfishingwatch.org/map/vessel/25ecd2d23-37dd-a0cd-0b59-a2fc2e477601?&start=2025-03-07&end=2025-03-16
HAIXIN28,412201872,CHN,CHN,NA,fishing,med,fishing,trawlers,CHN,DALIAN,01/12/2015 18:03,3,09/01/2025 12:07,4,3326.8,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/091267662-2761-8637-0d75-4cd332968347?&start=2015-11-29&end=2025-01-11
