ssvid,CurrentName,Imo,CurrentFlag,CurrentIrcs,VesselType,GearType,Include 
356889000,ANGARA,9136890,PAN,3FVD,carrier,NA,Yes
663102000,ANTA SARR,8741399,SEN,6WHC,fishing,trawlers,Yes
627795000,AP 703; MV/AP703; AP703; MV/ AP703,7419731,GHA,9GHM; 9GMH,fishing,pole_and_line,Yes
353919000,ARENE,7928859,PAN,HO2884,fishing,purse_seines,Yes
740406000,ARGOS CIES,9818644,FLK,ZDLS3,fishing,trawlers,Yes
311001587,ARGOS REEFER,,BHS,,carrier,NA,Yes
603100179,AROSA DOCE,8617457,AGO,D3P5392,fishing,trawlers,Yes
271073441,ARSLAN 2,,TUR,,fishing,purse_seines,Yes
224449000,ARTIKE,9808120,CPV,D4HM,support,NA,Yes
627576000,ASONA,8896625,GHA,9GHM,fishing,trawlers,Yes
312997000,ASTRID,8404501,BLZ,V3ZY3,fishing,trawlers,Yes
224774000,ATERPE ALAI,9842011,ESP,EAMT,fishing,purse_seines,Yes
312864000,ATLANTIC GLORY,8919403,BLZ,V3PB8,fishing,purse_seines,Yes
245723000,ATLANTIC KLIPPER,9454761,NLD,PCIU,carrier,NA,Yes
273419350,ATLANTIC LADY; ATLANTICLADY,8500630,RUS,UBIQ2,carrier,NA,Yes
312867000,ATLANTIC PRINCE,8919415,BLZ,V3PG8,fishing,purse_seines,Yes
627179000,ATLANTIC QUEEN,9223227,GHA,9GHE,fishing,purse_seines,Yes
277312000,ATLANTIC ROSE,8806242,PLW,T8A3212,carrier,NA,Yes
271073352,ATLANTIDE 1,unknown,TUR,unknown,fishing,unknown,Yes
247083500,ATOUMAY,8979130,MRT,IZMP,fishing,trawlers,Yes
663146000,AUDREY,unknown,SEN,unknown,fishing,trawlers,Yes
231792000,AURIGA,8920983,LTU,LYBT,carrier,NA,Yes
231257000,AURORA,8819275,FRO,V4XU2; OZ2162,carrier,NA,Yes
613003609,AVACHINSKY,8138695,CMR,TJMC64,fishing,trawlers,Yes
227835000,AVEL VOR,8908038,FRA,FGPK,fishing,purse_seines,Yes
312557000,AVEN,9276080,BLZ,V3ZX5,support,NA,Yes
312756000,AVRA,7809273,BLZ,V3UB4,fishing,purse_seines,Yes
352351000,AVUNDAREEFER; AVUNDA REEFER,9072824,PAN,3EJD5,carrier,NA,Yes
630124008,BACALAM,unknown,GNB,unknown,fishing,trawlers,Yes
224574000,BALAMIDA,9362762,ESP,ECIV,fishing,trawlers,Yes
309716000,BALTIC AUTUMN,9014767,BHS,C6VR5,carrier,NA,Yes
311001021,BALTIC ERICA,9194476,BHS,C6EW6,carrier,NA,Yes
636015904,BALTIC HEATHER,9181144,BHS,C6EQ7,carrier,NA,Yes
311000977,BALTIC HOLLYHOCK,9189902,BHS,C6ER3,carrier,NA,Yes
209882000,BALTIC JASMINE,9181156,CYP,5BLD5,carrier,NA,Yes
636015811,BALTIC JASMINE; BALTICJASMINE,9181156,CYP,5BLD5,carrier,NA,Yes
377256000,BALTIC LORD,9160724,BHS,C6EX4,carrier,NA,Yes
309841000,BALTIC PEARL; BALTICPEARL,9008732,BHS,C6OU9,carrier,NA,Yes
311000972,BALTIC PERFORMER; BALTICPERFORMER,9016674,BHS,C6EQ6,carrier,NA,Yes
311000724,BALTIC PURPLE,9143099,BHS,C6DN3,carrier,NA,Yes
311000851,BALTIC SPIRIT,9765873,BHS,C6EB8,carrier,NA,Yes
311001003,BALTIC SPRING,8909070,BHS,C6EU4,carrier,NA,Yes
311000992,BALTIC SUMMER,8802090,BHS,C6ES9,carrier,NA,Yes
309075000,BALTIC WINTER,9014755,BHS,C6VR4,carrier,NA,Yes
422754700,BALUCH,,IRN,,fishing,purse_seines,Yes
630123600,BAOBAB,7922283,GNB,J5ML1,fishing,trawlers,Yes
308701000,BARRINGTON ISLAND,9059614,BHS,C6QK,carrier,NA,Yes
212857000,BELBEK,9140970,CYP,P3MG8,carrier,NA,Yes
308121000,BELUGA REEFER,9015204,BHS,C6KD7,carrier,NA,Yes
224098930,BERRIZ SAN FRANCISCO,9297450,ESP,EAID,fishing,pole_and_line,Yes
353475000,BLUE DANANG,unknown,PAN,HO9829,fishing,unknown,Yes
412549093,BO YUAN 17,,CHN,,fishing,trawlers,Yes
412209153,BO YUAN 7,8586177,CHN,BZYW7,fishing,trawlers,Yes
630123300,BON VOYAGE,7925156,GNB,J5MK7,fishing,purse_seines,Yes
663037000,BOROM DARADJI,7021209,SEN,6WIY,fishing,trawlers,Yes
351373000,BOYANG CAPELLA,9886794,PAN,3FEZ2,carrier,NA,Yes
266154000,BRAZIL,,,,fishing,trawlers,Yes
306796000,BREIZ KLIPPER; BREIZKLIPPER,8917211,CUW,PJQV,carrier,NA,Yes
412420838,BZU1B,,,,fishing,trawlers,Yes
353154000,CABO DE PALOS,7363700,PAN,HP5179,support,NA,Yes
311001586,CALLISTO,9073402,BHS,,carrier,NA,Yes
663273000,CAMPELO 2,7234167,SEN,,fishing,trawlers,Yes
663144000,CAMPELO-1,7407659,SEN,6WLK,fishing,trawlers,Yes
663270000,CAP ATLANTIQUE,9083653,SEN,6WOU,fishing,purse_seines,Yes
228280000,CAP BOJADOR; CAPBOJADOR; CAP BOIADOR,8908026,FRA,FGPI,fishing,purse_seines,Yes
627109000,CAP FORMOSA,8821357,GHA,9GAM,fishing,drifting_longline,Yes
374573000,CAPE CORAL; CAPECORAL,9699050,PAN,3FEM8; 3FM8,fishing,purse_seines,Yes
277348000,CAPELLA,9047257,LTU,LYSG,carrier,NA,Yes
663176000,CARVISA DOS,7388592,SEN,6WGH,fishing,trawlers,Yes
277397000,CASSIOPEA,9047269,LTU,LYTA,carrier,NA,Yes
663500001,CASTLE TOWN,8111099,SEN,6WLB,fishing,trawlers,Yes
636019751,CERES TWO,9167801,BHS,C6FE3,carrier,NA,Yes
108673113,CHANG LONG 22,unknown,unknown,unknown,fishing,trawlers,Yes
413031000,CHANG RONG 1,8670124,CHN,BZZW3,fishing,drifting_longline,Yes
412270099,CHANG RONG 2,8666410,CHN,BZYE5,fishing,drifting_longline,Yes
412283999,CHANG RONG 3,8947204,CHN,BZYC9,fishing,drifting_longline,Yes
412283998,CHANG RONG 4,8678413,CHN,BZZW6,fishing,drifting_longline,Yes
412280994,CHANG RONG 5,8670289,CHN,BZYE8,fishing,drifting_longline,Yes
412549272,CHANG RONG 8,,CHN,,fishing,trawlers,Yes
412200983,CHANG YUAN YU 1,,CHN,,fishing,trawlers,Yes
412200985,CHANG YUAN YU 2,unknown,CHN,unknown,fishing,trawlers,Yes
412200988,CHANGYUANYU 11,unknown,CHN,unknown,fishing,unknown,Yes
412200989,CHANGYUANYU12,unknown,CHN,YND,fishing,trawlers,Yes
308705000,CHARLES ISLAND,9059626,BHS,C6JT,carrier,NA,Yes
416060900,CHIN CHANG MING,8661226,TWN,BI2443,fishing,drifting_longline,Yes
416891000,CHIN HSIANG MING,8661214,TWN,BH3138,fishing,drifting_longline,Yes
416734000,CHIN JIN MING,8429886,TWN,BI2455,fishing,drifting_longline,Yes
416035800,CHIN SIANG WEN,8649759,TWN,BH3284,fishing,drifting_longline,Yes
518100027,CHINA FROST,8410914,COK,E5U2972,carrier,NA,Yes
663101000,CHIQUITA,unknown,unknown,unknown,fishing,unknown,Yes
416121900,CHUN FA NO. 888,8957431,TWN,BH3358,fishing,drifting_longline,Yes
416348000,CHUN FA NO. 999,8651362,TWN,BI2531,fishing,drifting_longline,Yes
263403770,CIDADE DE PORTIMAO; CIDADEDEPORTIMAO,8748048,CIV,,fishing,trawlers,Yes
271072854,CINAR IBRAHIM,8992077,TUR,TC9967,fishing,purse_seines,Yes
225987981,CIUDAD DE HUELVA,8740955,ESP,EAVC,fishing,trawlers,Yes
306216000,COLD STREAM,9051791,CUW,PJRH,carrier,NA,Yes
627132000,COMFORTER1,8683808,GHA,9GIR,fishing,trawlers,Yes
627255000,COMMANDER,9097379,GHA,,fishing,purse_seines,Yes
244790145,COOL EXPRESO; COOLEXPRESO,9085479,LBR,D5YZ5,carrier,NA,Yes
354294000,COOL GIRL,,PAN,,carrier,NA,Yes
306862000,COPPENAME,8807636,CUW,PJYM,carrier,NA,Yes
228967000,CORONA DEL MAR,9093206,FRA,FIPY,fishing,pole_and_line,Yes
242188100,COSTA BLANCA,8575245,MAR,CNA4946,fishing,unknown,Yes
224854000,COSTA DE HUELVA,9379820,ESP,ECKX,fishing,trawlers,Yes
224331000,COVA BALEA,9215244,ESP,EAVG,fishing,trawlers,Yes
311000791,CROWN JADE,9128051,BHS,C6DV2,carrier,NA,Yes
311000801,CROWN OPAL,9128063,BHS,C6DW4,carrier,NA,Yes
311000796,CROWN RUBY,9159103,BHS,C6DV7,carrier,NA,Yes
311000855,CROWN SAPPHIRE; CROWNSAPPHIRE,9159115,BHS,C6EC4,carrier,NA,Yes
311000788,CROWN TOPAZ,9191498,BHS,C6DU7,carrier,NA,Yes
566029000,CS STRATOS,9350991,SGP,9V9356,carrier,NA,Yes
224106000,CURBEIRO,9194191,ESP,EACV,fishing,trawlers,Yes
603100287,CUTETA,8605935,AGO,D3P5404,fishing,trawlers,Yes
663060000,DA K1191,unknown,SEN,unknown,fishing,unknown,Yes
441057000,DAE SUNG NO. 216,8976114,unknown,unknown,fishing,drifting_longline,Yes
377901046,DAE SUNG NO. 226,8744042,unknown,unknown,fishing,drifting_longline,Yes
377907052,DAE YOUNG NO. 111,8619340,unknown,unknown,fishing,drifting_longline,Yes
377907051,DAE YOUNG NO. 112,8619390,unknown,unknown,fishing,drifting_longline,Yes
416129700,DAI HO,8947527,TWN,BI2556,fishing,drifting_longline,Yes
663071000,DAK1178,unknown,SEN,unknown,fishing,unknown,Yes
663061000,DAK1193,unknown,unknown,unknown,fishing,unknown,Yes
663062000,DAK1194,unknown,SEN,unknown,fishing,unknown,Yes
663063000,DAK1195,unknown,SEN,unknown,fishing,unknown,Yes
663064000,DAK938,unknown,SEN,unknown,fishing,unknown,Yes
663065000,DAK939,unknown,SEN,unknown,fishing,unknown,Yes
629009156,DALGIC ORHAN,,GMB,,fishing,unknown,Yes
325981000,DELTA REEFER; DELTAREEFER,7912408,DMA,J7AG7,carrier,NA,Yes
271002430,DENIZER,9331036,TUR,TCA2379,fishing,purse_seines,Yes
663161000,DIAMALAYE 1909,8017762,SEN,6WLT,fishing,drifting_longline,Yes
440165170,DIAMOND ACE 1,unknown,KEN,unknown,fishing,Pots and traps,Yes
312177000,DICHA SIETE,9197650,BLZ,,fishing,purse_seines,Yes
312391000,DICHA UNO,8029026,BLZ,V3GL,fishing,purse_seines,Yes
629009092,DIMITRIOS I,8675899,GMB,C5J106,fishing,trawlers,Yes
224910000,DOCE DE JULIO,,ESP,,fishing,trawlers,Yes
356728000,DON REEFER; DONREEFER,9035072,PAN,3ETB8,carrier,NA,Yes
440782000,DONG WON NO. 211,8821541,KOR,6LCW,fishing,drifting_longline,Yes
664348000,DRACO,9335226,SYC,S7TW,fishing,purse_seines,Yes
325110000,DUBREKA,8028424,DMA,J7AW4,carrier,NA,Yes
308704000,DUNCAN ISLAND,9059638,BHS,C6JS,carrier,NA,Yes
630123009,DUX,unknown,unknown,unknown,fishing,trawlers,Yes
752981000,EBENEZER,unknown,GHA,unknown,fishing,unknown,Yes
312078000,EGALABUR,,BLZ,,fishing,purse_seines,Yes
617095000,EGALABUR; NOJA EGALABUR,9710995,CUW,PJYU,fishing,purse_seines,Yes
224580000,EGALUZE,8109620,ESP,EFHD,fishing,purse_seines,Yes
629009118,EIGHTEEN,,GMB,,fishing,drifting_longline,Yes
676008600,EL NINO,8800133,COD,9PAEL05,carrier,NA,Yes
629009158,ELSAAD,,GMB,,fishing,unknown,Yes
636019778,EMERALD,9202857,LBR,D5WC7,carrier,NA,Yes
271072105,ERGUN BASARAN,8685882,TUR,TCA2511,fishing,purse_seines,Yes
664578000,EUSKADI ALAI,9733480,SYC,S7UO,fishing,purse_seines,Yes
100902469,EVERRICH 636,8714152,CIV,unknown,fishing,drifting_longline,Yes
619224000,EVERRICH NO. 1,7705180,CIV,TUN5072,fishing,drifting_longline,Yes
306276000,EXPLORER III,9171656,CUW,PJGD,support,NA,Yes
412557777,FADA 9,,CHN,,fishing,trawlers,Yes
359082024,FARO DE LIBERTAD,8829452,SLV,,support,NA,Yes
663177000,FATIMA,unknown,SEN,6WGL,fishing,trawlers,Yes
314005000,FEGULUS,9055709,BHS,C6DD4,carrier,NA,Yes
341443000,FENG 9,8420751,PLW,T8A3266,carrier,NA,Yes
416379000,FENG YA NO. 11,8947266,TWN,BI2566,fishing,drifting_longline,Yes
627133000,FLORENCE 2,8683793,GHA,9GLQ,fishing,trawlers,Yes
224079000,FOLIAS,9304863,ESP,EAXS,fishing,trawlers,Yes
416004522,FONGYA18,9718399,TWN,BG3739,fishing,drifting_longline,Yes
603100170,FORCADELA,7388190,AGO,EHBP,fishing,trawlers,Yes
353773000,FRIO AEGEAN,9172703,PAN,3FTB8; 9172703,carrier,NA,Yes
374478000,FRIO ANTARCTIC; FRIOANTARCTIC,8807466,PAN,3FAR4,carrier,NA,Yes
352784000,FRIO ANTWERP; FRIOANTWERP,9078282,RUS,UBDV8,carrier,NA,Yes
209176000,FRIO ARKHANGELSK; FRIOARKHANGELSK,8860444,RUS,UBWS4,carrier,NA,Yes
353982000,FRIO ATHENS,8710340,PAN,3FAX7,carrier,NA,Yes
311001575,FRIO CHIKUMA,,BHS,,carrier,NA,Yes
353306000,FRIO CHIKUMA; FRIOCHIKUMA,9184536,PAN,3FWG8,carrier,NA,Yes
373897000,FRIO DOLPHIN,8807442,PAN,3EDI8,carrier,NA,Yes
210631000,FRIO FORWIN; FRIOFORWIN,9076260,CYP,5BWC3,carrier,NA,Yes
374996000,FRIO GALICIA,9143752,PAN,3FPV3,carrier,NA,Yes
354502000,FRIO IONIAN,9189873,PAN,3FGU,carrier,NA,Yes
636016916,FRIO KIANIT; NF SEA GLORY NO. 16,9015785,RUS,UBCT2; S7TG,carrier,NA,Yes
356609000,FRIO LAS PALMAS; FRIOLASPALMAS,8908193,PAN,3EBI9,carrier,NA,Yes
374813000,FRIO MARATHON,8916229,PAN,3FOC4,carrier,NA,Yes
357735000,FRIO MOGAMI; FRIOMOGAMI,9184548,PAN,3FSC9,carrier,NA,Yes
341009000,FRIO MURMANSK; FRIOMURMANSK,8845717,RUS,UBXR6,carrier,NA,Yes
212782000,FRIO NEREUS,9076258,CYP,5BVT4,carrier,NA,Yes
354871000,FRIO OCEANIC; FRIOOCEANIC,8801814,PAN,3FYF8,carrier,NA,Yes
372107000,FRIO OLYMPIC; FRIOOLYMPIC,8801802,PAN,3FTF9,carrier,NA,Yes
371812000,FRIO POSEIDON; FRIOPOSEIDON,8807662,PAN,3EHL5,carrier,NA,Yes
214182714,FRIO SEVEN,8215936,MDA,ER2714,carrier,NA,Yes
352349000,FRIO SHINANO; FRIOSHINANO,9073385,PAN,3FNR3,carrier,NA,Yes
212373000,FRIO V,8216722,CMR,TJMC141,carrier,NA,Yes
225989933,FRIOMAR,9853462,ESP,EAYM,fishing,trawlers,Yes
412440431,FU YUAN Y 130,unknown,CHN,unknown,fishing,unknown,Yes
412440337,FU YUAN YU 00118,unknown,CHN,unknown,fishing,trawlers,Yes
412448839,FU YUAN YU 120,unknown,CHN,unknown,fishing,trawlers,Yes
412440425,FU YUAN YU 125,unknown,CHN,unknown,fishing,trawlers,Yes
412440426,FU YUAN YU 126,unknown,CHN,unknown,fishing,trawlers,Yes
412203336,FU YUAN YU 127,unknown,CHN,unknown,fishing,trawlers,Yes
412440428,FU YUAN YU 128,unknown,CHN,unknown,fishing,trawlers,Yes
412202673,FU YUAN YU 129,unknown,CHN,unknown,fishing,trawlers,Yes
412440513,FU YUAN YU 199,8776801,CHN,BVTG7,fishing,pole_and_line,Yes
412440267,FU YUAN YU 372,,CHN,,fishing,unknown,Yes
412440268,FU YUAN YU 373,,CHN,,fishing,trawlers,Yes
412440577,FU YUAN YU 6057,unknown,CHN,unknown,fishing,unknown,Yes
412440617,FU YUAN YU 6071,unknown,CHN,unknown,fishing,trawlers,Yes
412440539,FU YUAN YU 635,8555221,CHN,BVBT3,fishing,purse_seines,Yes
412440541,FU YUAN YU 636,8555233,CHN,BVBU3,fishing,purse_seines,Yes
412440557,FU YUAN YU 7775,8910689,CHN,BVXK7,fishing,drifting_longline,Yes
412440558,FU YUAN YU 7776,8838374,CHN,BVXL7,fishing,drifting_longline,Yes
412440559,FU YUAN YU 7777,9046320,CHN,BZW6P,fishing,drifting_longline,Yes
412440561,FU YUAN YU 7778,9033464,CHN,unknown,fishing,drifting_longline,Yes
412440562,FU YUAN YU 7779,8712312,CHN,unknown,fishing,drifting_longline,Yes
412440814,FU YUAN YU 7852,9928310,CHN,BZW4V,fishing,drifting_longline,Yes
412440815,FU YUAN YU 7853,,CHN,,fishing,drifting_longline,Yes
412440839,FU YUAN YU 7855,,CHN,,fishing,unknown,Yes
412440841,FU YUAN YU 7856,,CHN,,fishing,unknown,Yes
412440842,FU YUAN YU 7857,,CHN,,fishing,drifting_longline,Yes
412440796,FU YUAN YU 7858,9921037,CHN,BZW7P,fishing,drifting_longline,Yes
412440797,FU YUAN YU 7859,9921049,CHN,BZW8P,fishing,drifting_longline,Yes
412440336,FU YUAN YU 813,unknown,CHN,unknown,fishing,trawlers,Yes
412440616,FU YUAN YU 9812,unknown,CHN,unknown,fishing,trawlers,Yes
412440529,FU YUAN YU 9881,unknown,CHN,unknown,fishing,trawlers,Yes
412440532,FU YUAN YU 9886,unknown,CHN,unknown,fishing,trawlers,Yes
412440533,FU YUAN YU 9887,unknown,CHN,unknown,fishing,trawlers,Yes
412440534,FU YUAN YU 9888,unknown,CHN,unknown,fishing,trawlers,Yes
412440259,FU YUAN YU-363,,CHN,,fishing,drifting_longline,Yes
224086000,FUENTE DE MACENLLE,9306615,ESP,ECEK,fishing,trawlers,Yes
636013651,FUJI BAY,8920141,LBR,A8OL6,carrier,NA,Yes
224266000,FUNCHO,9230701,ESP,EAUS,fishing,trawlers,Yes
412440338,FUYUANYU,unknown,CHN,unknown,fishing,unknown,Yes
412440341,FUYUANYU123,unknown,CHN,unknown,fishing,trawlers,Yes
412202222,FUYUANYU128,unknown,CHN,unknown,fishing,trawlers,Yes
412440262,FUYUANYU367,,CHN,,fishing,trawlers,Yes
412440263,FUYUANYU368,,,,fishing,trawlers,Yes
412440284,FUYUANYU80,unknown,CHN,unknown,fishing,unknown,Yes
412440647,FUYUANYU9802,3158016,CHN,unknown,fishing,trawlers,Yes
412440648,FUYUANYU9803,unknown,CHN,unknown,fishing,trawlers,Yes
412440649,FUYUANYU9805,unknown,CHN,unknown,fishing,trawlers,Yes
412440651,FUYUANYU9806,unknown,CHN,unknown,fishing,trawlers,Yes
412440652,FUYUANYU9807,unknown,CHN,unknown,fishing,trawlers,Yes
412440612,FUYUANYU9808,unknown,CHN,unknown,fishing,trawlers,Yes
412440613,FUYUANYU9809,unknown,CHN,unknown,fishing,trawlers,Yes
412440614,FUYUANYU9810,unknown,CHN,unknown,fishing,trawlers,Yes
412440615,FUYUANYU9811,unknown,CHN,unknown,fishing,trawlers,Yes
214182732,GABU REEFER; GABUREEFER,8300949,MDA,ER2732,carrier,NA,Yes
306783000,GALERNA,7409140,CUW,PJQD,fishing,purse_seines,Yes
664576000,GALERNA II,9663154,SYC,S7VH,fishing,purse_seines,Yes
664584000,GALERNA III,9663166,SYC,S7UG,fishing,purse_seines,Yes
356702000,GALERNA LAU,9861495,PAN,3FWW4,fishing,purse_seines,Yes
225461000,GARBOLA,9747560,ESP,EAEZ,support,NA,Yes
224073650,GAZTELUGAITZ,9200249,ESP,EAKI,fishing,pole_and_line,Yes
228066900,GEVRED,9741097,FRA,FIUO,fishing,purse_seines,Yes
619000200,GFB 1,8538924,SEN,unknown,fishing,trawlers,Yes
619000210,GFB 2,8538936,SEN,unknown,fishing,trawlers,Yes
663167000,GOBER CINCO,9276107,SEN,6WGK,fishing,trawlers,Yes
224068180,GOBER CUARTO,8733574,ESP,ECAE,fishing,trawlers,Yes
224013270,GOBER TERCERO,8733598,ESP,EBWZ,fishing,trawlers,Yes
627891000,GODISKING,unknown,GHA,GR011TM,fishing,unknown,Yes
210966000,GOGLAND REEFER,8509533,RUS,UBST8,carrier,NA,Yes
354747000,GOLFO DE FONSECA,8829440,SLV,YS2020,support,NA,Yes
663141000,GRANADA,8102907,SEN,6WLH,fishing,purse_seines,Yes
353799000,GREEN ATLANTIC,8320585,PLW,T8A3631,carrier,NA,Yes
311043800,GREEN AUSTEVOLL,8819299,BHS,C6YS6,carrier,NA,Yes
311009500,GREEN BODO; GREEN BODØ,8804555,BHS,C6XH3,carrier,NA,Yes
309681000,GREEN BRAZIL,NA,BHS,,carrier,NA,Yes
311011400,GREEN COOLER; GREENCOOLER,8804543,BHS,C6XJ4,carrier,NA,Yes
309689000,GREEN COSTA RICA; GREENCOSTARICA,8912120,BHS,C6WB3,carrier,NA,Yes
311009700,GREEN CRYSTAL; GREENCRYSTAL,8920995,BHS,C6XH5,carrier,NA,Yes
311040500,GREEN EGERSUND; GREENEGERSUND,8804567,BHS,C6YO8,carrier,NA,Yes
309361000,GREEN EXPLORER,8922242,BHS,C6VZ4,carrier,NA,Yes
311009600,GREEN FREEZER; GREENFREEZER,8819304,BHS,C6XH4,carrier,NA,Yes
308868000,GREEN GUATEMALA; GREENGUATEMALA,8912144,BHS,C6WA6,carrier,NA,Yes
311289000,GREEN HONDURAS,8912132,BHS,C6WH8,carrier,NA,Yes
309281000,GREEN ITALIA; GREENITALIA,9045780,BHS,C6WH9,carrier,NA,Yes
311009400,GREEN KARMOY; GREENKARMOY; GREEN KARMØY,8804531,BHS,C6XH2,carrier,NA,Yes
309165000,GREEN KLIPPER; GREENKLIPPER,9001904,BHS,C6VY9,carrier,NA,Yes
311042400,GREEN MALOY; GREENMALOY; GREEN MÅLØY,8804579,BHS,C6YQ9,carrier,NA,Yes
311004000,GREEN MAVERIC; GREENMAVERIC,9043055,BHS,C6VY2,carrier,NA,Yes
308228000,GREEN OCEAN; GREENOCEAN,9001916,BHS,C6VY8,carrier,NA,Yes
308541000,GREEN SELJE; GREENSELJE,8804529,BHS,C6IB5,carrier,NA,Yes
311001277,GREENSEA BERMEO,,BHS,,carrier,NA,Yes
529520000,GRIPO,8603133,KIR,T3DP2,carrier,NA,Yes
251013000,GUDBJOERG SIGURDARDOTTIR,8800810,unknown,unknown,fishing,trawlers,Yes
227549000,GUEOTEC,8912986,FRA,FGPG; EGPG,fishing,purse_seines,Yes
227550000,GUERIDEN,8912998,FRA,FGQC; FGRC,fishing,purse_seines,Yes
657127700,GULF SPIRIT I,7217755,NGA,5OAM,fishing,trawlers,Yes
627186000,GUO JIN 601,8683951,GHA,TBC,fishing,trawlers,Yes
627187000,GUO JIN 602,8683963,GHA,9GNH,fishing,trawlers,Yes
412549362,GUO JIN 609,unknown,CHN,BZV7L,fishing,trawlers,Yes
627389000,GUO JIN 801,9089695,GHA,unknown,fishing,trawlers,Yes
412209119,GUOJIN607,unknow,CHN,unknown,fishing,trawlers,Yes
306097000,GURIA,9758351,CUW,PJCP; PICP,fishing,purse_seines,Yes
412660240,HAI FENG 823,8863496,CHN,BKUG,carrier,NA,Yes
371322000,HAI FENG 895; HAIFENG895,8814237,PAN,3ECC7,carrier,NA,Yes
412300004,HAI FENG 896,9002180,CHN,BZZQ5,carrier,NA,Yes
627193000,HAI LU FENG 1,8683975,GHA,9GOU,fishing,trawlers,Yes
412209640,HAI LU FENG 11,unknown,CHN,unknown,fishing,trawlers,Yes
627194000,HAI LU FENG 2,8683987,GHA,9GOW,fishing,trawlers,Yes
627195000,HAI LU FENG 3,8683999,GHA,9GOX,fishing,trawlers,Yes
627196000,HAI LU FENG 4,8684008,GHA,9GOZ,fishing,trawlers,Yes
412209157,HAI LU FENG 5,8684010,GHA,unknown,fishing,trawlers,Yes
627198000,HAI LU FENG 6,8684022,GHA,9GNQ,fishing,trawlers,Yes
412371178,HAI SHANG 68,8921391,CHN,BZ6UW,fishing,drifting_longline,Yes
412371179,HAI SHANG 78,8904185,CHN,BZ7UW,fishing,drifting_longline,Yes
412370006,HAI SHANG NO 28,9016088,CHN,BIWI,fishing,drifting_longline,Yes
412209610,HAILUFENG8,,CHN,,fishing,trawlers,Yes
412201867,HAIXIN24,,CHN,,fishing,trawlers,Yes
412201871,HAIXIN27,,CHN,,fishing,unknown,Yes
