Date added,ssvid,CurrentName,IMO,CurrentFlag,CurrentIrcs,VesselType,GearType,,,,,,,,,,,,,,,,
Original port profile list,228071900,PENDRUC,9741102,FRA,FIXF,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,228128000,VIA AVENIR,8812186,FRA,FGPJ,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,228167000,VIA MISTRAL,9017850,FRA,FGRY,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,228168000,VIA EUROS,9017862,FRA,FGRS,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,228280000,CAP BOJADOR,8908026,FRA,FGPI,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,228378000,ALF,8676726,FRA,FVFP,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,228967000,CORONA DEL MAR,9093206,FRA,FIPY,Fishing Vessel,Pole and line,,,,,,,,,,,,,,,,
Original port profile list,234423000,ST DANIEL,9163178,GMB,UNKNOWN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,242131100,INDALO SEGUNDO,8575491,MAR,CNA4665,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,242165100,ABDERA 1,9383091,MAR,CNA4817,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,242188100,COSTA BLANCA,8575245,MAR,CNA4946,Fishing Vessel,UNKNOWN,,,,,,,,,,,,,,,,
Original port profile list,244810428,TURYASEN,UNKNOWN,NLD,UNKNOWN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,245723000,ATLANTIC KLIPPER,9454761,NLD,PCIU,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,247059800,TWENTY,9255220,GMB,C5J134,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,247083400,ORIONE Q,8979128,ITA,IZNE,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,247083500,ATOUMAY,8979130,MRT,IZMP,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,247100320,SHARON C.,8545343,ITA,IZTB,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,247110330,SALVATORE PRIMO,7938933,ITA,IPZP,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,247118400,IDRA Q,9013737,ITA,IQXI,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,247118500,MYRA Q,8871601,ITA,IOBE,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,251013000,GUDBJOERG SIGURDARDOTTIR,8800810,UNKNOWN,UNKNOWN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,258816000,ICE LOUISE,7920314,UNKNOWN,UNKNOWN,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,259591508,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
Original port profile list,263388000,SANTA ANITA,8001050,PRT,CUPS,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,263407550,MAR IBERICO,8689448,PRT,CUDL8,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,263428000,LUCIMAR,7813195,PRT,CUUN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,271002430,DENIZER,9331036,TUR,TCA2379,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,271008508,ORUC REIS BALIKCILIK,9089554,TUR,TC7390,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,271044374,ORKOZ 53,UNKNOWN,TUR,TC9145,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,271056023,NECATI REIS 2,8736459,TUR,TCA2980,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,271072105,ERGUN BASARAN,8685882,TUR,TCA2511,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,271072854,CINAR IBRAHIM,8992077,TUR,TC9967,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,271073280,ILHAN YILMAZ 3,9858280,TUR,TCA5006,Fishing Vessel,UNKNOWN,,,,,,,,,,,,,,,,
Original port profile list,271073352,ATLANTIDE 1,UNKNOWN,TUR,UNKNOWN,Fishing vessel,Unknown,,,,,,,,,,,,,,,,
Original port profile list,273383370,RUNAWAY BAY,9019640,BHS,C6FI3,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,273432340,NOVA ZEELANDIA,8514784,RUS,UBSR2,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,273432340,NOVA ZEELANDIA,8514784,BHS,UBSR2,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,306012000,ALBACORA SEIS,7403627,CUW,PJGS,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,306034000,PACIFIC STAR,8716837,TZA,5IM404,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,306094000,ALBACORA NEUVE,7403639,CUW,JPXU,Fishing vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,306097000,GURIA,9758351,CUW,PJCP,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,306117000,SIERRA LAUREL,9163403,CUW,PJBQ,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,306118000,AGURTZA BERRIA,8733445,BLZ,PJBL,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,306120000,PATUDO,9276092,CUW,PJCF,Support vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,306124000,ORANGE STRAIT,9795995,CUW,PJDE,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,306125000,ORANGE STREAM,9795983,CUW,PJDC,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,306136000,SIERRA QUEEN,9127928,CUW,PJFC,Carrier vessel,NA,,,,,,,,,,,,,,,,
