"";"s2id";"iso3";"label";"sublabel";"lat";"lon";"distance_from_shore_m";"dock"
"108";"106835ff";"NGA";"ONNE";"ONNE";4,69489006942995;7,17540296694685;0;TRUE
"109";"10684a75";"NGA";"ONNE";"ONNE";4,68667465290221;7,15735629877626;0;TRUE
"110";"10684a6d";"NGA";"ONNE";"ONNE";4,67837960264304;7,15590890449306;0;TRUE
"111";"10684a45";"NGA";"ONNE";"ONNE";4,66503177606354;7,15081793931121;0;TRUE
"112";"10684a6b";"NGA";"ONNE";"ONNE";4,67377292928543;7,15468458706907;0;TRUE
"113";"1068358d";"NGA";"ONNE";"ONNE";4,69885166545334;7,15713448539839;0;TRUE
"114";"10684a13";"NGA";"ONNE";"ONNE";4,67844625625102;7,15905717775837;0;TRUE
"115";"106835fd";"NGA";"ONNE";"ONNE";4,69631418515127;7,17777590856932;0;TRUE
"116";"10684a3f";"NGA";"ONNE";"ONNE";4,66861351677005;7,15868780688517;0;TRUE
"117";"10684a73";"NGA";"ONNE";"ONNE";4,68321043258694;7,15678596526462;0;TRUE
"118";"106835f5";"NGA";"ONNE";"ONNE";4,69490110118725;7,15920716144994;0;TRUE
"119";"10684a41";"NGA";"ONNE";"ONNE";4,66855264205703;7,15384830645578;0;TRUE
"120";"10684a47";"NGA";"ONNE";"ONNE";4,66500979359644;7,15230311475444;0;TRUE
"121";"10684a15";"NGA";"ONNE";"ONNE";4,67352134363723;7,15888161209414;0;TRUE
"122";"10684a0d";"NGA";"ONNE";"ONNE";4,68351296673878;7,15892375449585;0;TRUE
"123";"10684a0b";"NGA";"ONNE";"ONNE";4,68848577116426;7,15822744154291;0;TRUE
"124";"106835f7";"NGA";"ONNE";"ONNE";4,69519591595516;7,16583265521379;0;TRUE
"125";"1068358b";"NGA";"ONNE";"ONNE";4,69587640141152;7,15725467880169;0;TRUE
"126";"106835f3";"NGA";"ONNE";"ONNE";4,69686709009809;7,16053044566026;0;TRUE
"127";"1069c92b";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,77063584728363;6,96571843017186;0;TRUE
"128";"1069c959";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,76206992335607;7,00452911710943;0;TRUE
"129";"1069c95f";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,75551730512635;7,00284613547611;0;TRUE
"130";"1069cb79";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,76783287964257;7,05373133633961;0;TRUE
"131";"1069c955";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,77418813803148;7,00344296527312;0;TRUE
"132";"1069cba3";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,7513581871536;7,04308587886056;0;TRUE
"133";"1069cce5";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,80735238380038;7,06269311189701;0;TRUE
"134";"1069ced1";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,78314019384985;6,97341027863608;0;TRUE
"135";"1069cc13";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,78646413807391;7,02362777202482;0;TRUE
"136";"1069cc17";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,79265508403759;7,02188244282505;0;TRUE
"137";"1069ccfb";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,80863797332737;7,05976300855444;0;TRUE
"138";"1069cb63";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,77201567953907;7,06330009992106;0;TRUE
"139";"1069c929";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,76902018144102;6,96607717130853;0;TRUE
"140";"1069cbff";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,77176648689823;7,00917582095325;0;TRUE
"141";"1069c957";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,7649201445071;7,00651073769106;0;TRUE
"142";"1069cb99";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,75563359543374;7,0428329155726;0;TRUE
"143";"1069c8d5";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,77434057515227;6,96201350280901;0;TRUE
"144";"1069c961";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,7515971006894;7,0021688622786;0;TRUE
"145";"1069cee7";"NGA";"PORT HARCOURT";"LAGOS NIGERIA";4,79845053890809;6,97131639237704;0;TRUE
"146";"1069cb7b";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,76803316937067;7,05573930238036;0;TRUE
"147";"1069c94f";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,76925881048676;6,99471749994724;0;TRUE
"148";"1069c933";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,7740635417605;6,97793319381519;0;TRUE
"149";"1069c953";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,77137789074081;6,99858565083232;0;TRUE
"150";"1069cc9b";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,78310984184666;7,0611189577218;0;TRUE
