s2id,iso3,label,gfw_sublabel,lat,lon,dock,distance_from_shore_m,port_or_anchorage,tmt_sublabel,GhanaEEZ
1023dce3,TGO,LOME,LOME,6,1.3397459663956819,FALSE,15000,Anchorage ,Anchorage ,
1023dc39,TGO,LOME,LOME,6.0110236809906432,1.3057722630103203,FALSE,15000,Anchorage ,Anchorage ,
1023dc5b,TGO,LOME,LOME,6.0110348290812876,1.3203576757242985,FALSE,15000,Anchorage ,Anchorage ,
1023ded9,TGO,LOME,LOME,6,1.2530942422537963,FALSE,15000,Anchorage ,Anchorage ,
1023dc43,TGO,LOME,LOME,6.0052813502534637,1.3154250432591168,FALSE,15000,Anchorage ,Anchorage ,
1023ded7,TGO,LOME,LOME,5.9901266350552573,1.253097690056844,FALSE,15000,Anchorage ,Anchorage ,
1023dc5d,TGO,LOME,LOME,6.005386831877459,1.320525545092968,FALSE,15000,Anchorage ,Anchorage ,
1023decf,TGO,LOME,LOME,5.9897042037148136,1.2625504656794435,FALSE,15000,Anchorage ,Anchorage ,
1023dec1,TGO,LOME,LOME,6.0002067148772316,1.2674746632022762,FALSE,15000,Anchorage ,Anchorage ,
1023df29,TGO,LOME,LOME,5.9895030467929162,1.2478913336799438,FALSE,15000,Anchorage ,Anchorage ,
1023dc1f,TGO,LOME,LOME,5.9997812874806336,1.2918852591964516,FALSE,15000,Anchorage ,Anchorage ,
1023d8cd,TGO,LOME,LOME,5.9790232180765193,1.2383343092653714,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023dcf9,TGO,LOME,LOME,6,1.3304258493288341,FALSE,15000,Anchorage ,Anchorage ,
1023dea1,TGO,LOME,LOME,6.0009540858398749,1.2867635190247413,FALSE,15000,Anchorage ,Anchorage ,
1023d8d3,TGO,LOME,LOME,5.9794422811439123,1.2438127555360841,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023dce5,TGO,LOME,LOME,6.0160709466494104,1.3393547056141253,FALSE,15000,Anchorage ,Anchorage ,
1023dc3d,TGO,LOME,LOME,6,1.3010602568531806,FALSE,15000,Anchorage ,Anchorage ,
1023dc23,TGO,LOME,LOME,6.005559197182242,1.2962349775636572,FALSE,15000,Anchorage ,Anchorage ,
1023dc55,TGO,LOME,LOME,6.0217744752650857,1.3250286202045416,FALSE,15000,Anchorage ,Anchorage ,
1023dc45,TGO,LOME,LOME,6.0106196789982151,1.3154868380432558,FALSE,15000,Anchorage ,Anchorage ,
1023dc3f,TGO,LOME,LOME,6.0051662158462964,1.3055912530399263,FALSE,15000,Anchorage ,Anchorage ,
1023dc41,TGO,LOME,LOME,6.005412739620354,1.3109323460219953,FALSE,15000,Anchorage ,Anchorage ,
1023d8b3,TGO,LOME,LOME,5.9796579137143695,1.2243258561763524,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023d8ad,TGO,LOME,LOME,5.979086631313959,1.2190590790098694,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023debb,TGO,LOME,LOME,5.9953613979804441,1.2767168435435317,FALSE,15000,Anchorage ,Anchorage ,
1023deb9,TGO,LOME,LOME,5.9953250415660806,1.272376480448943,FALSE,15000,Anchorage ,Anchorage ,
1023dc5f,TGO,LOME,LOME,6.0055362539604005,1.3246659068421511,FALSE,15000,Anchorage ,Anchorage ,
1023df33,TGO,LOME,LOME,5.9846098431546313,1.2384860325853575,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023dc47,TGO,LOME,LOME,6.0105483498739165,1.3104252963228864,FALSE,15000,Anchorage ,Anchorage ,
1023df2d,TGO,LOME,LOME,5.984537673261797,1.2439500046653469,FALSE,15000,Anchorage ,Anchorage ,
1023d8b5,TGO,LOME,LOME,6,1.2289169852440323,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023dea5,TGO,LOME,LOME,5.9950403964470729,1.281841740472381,FALSE,15000,Anchorage ,Anchorage ,
1023ded1,TGO,LOME,LOME,5.989849552567529,1.2578229999599235,FALSE,15000,Anchorage ,Anchorage ,
1023dc3b,TGO,LOME,LOME,6.0106803050502862,1.3014564697662181,FALSE,15000,Anchorage ,Anchorage ,
1023df35,TGO,LOME,LOME,5.9848181449747457,1.2338810120798196,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023de9f,TGO,LOME,LOME,6.0049818100638621,1.2870577625321449,FALSE,15000,Anchorage ,Anchorage ,
1023d8cb,TGO,LOME,LOME,5.9791839689476518,1.2334464873764952,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023dcff,TGO,LOME,LOME,6.0217795833851735,1.3295245574182106,FALSE,15000,Anchorage ,Anchorage ,
1023df53,TGO,LOME,LOME,5.9842684250282367,1.2192873863528508,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023dea3,TGO,LOME,LOME,6.0002371899738476,1.2818285332883033,FALSE,15000,Anchorage ,Anchorage ,
1023dfdd,TGO,LOME,LOME,6.0587977825112977,1.2339593182865776,FALSE,7000,Anchorage ,Anchorage ,
1023dff5,TGO,LOME,LOME,6.0480561153944379,1.2145764152710923,FALSE,7000,Anchorage ,Anchorage ,Ghana EEZ
1021601f,TGO,LOME,LOME,6.0472125603224018,1.209993361390765,FALSE,7000,Anchorage ,Anchorage ,Ghana EEZ
1023e07d,TGO,LOME,LOME,6.0744812064688531,1.2481554784024926,FALSE,7000,Anchorage ,Anchorage ,
1023e713,TGO,LOME,LOME,6.0901003996826715,1.3150681457947322,FALSE,7000,Anchorage ,Anchorage ,
1023dfd7,TGO,LOME,LOME,6.063586276417273,1.2432110020956701,FALSE,7000,Anchorage ,Anchorage ,
1023e0a3,TGO,LOME,LOME,6.0746387241333215,1.2720326068400496,FALSE,7000,Anchorage ,Anchorage ,
1023dfd9,TGO,LOME,LOME,6.0637505053096152,1.2388147678245507,FALSE,7000,Anchorage ,Anchorage ,
1023dff1,TGO,LOME,LOME,6,1.2194987220779956,FALSE,7000,Anchorage ,Anchorage ,Ghana EEZ
1021601d,TGO,LOME,LOME,6.0532481798653377,1.2101103486481137,FALSE,7000,Anchorage ,Anchorage ,Ghana EEZ
1023e747,TGO,LOME,LOME,6,1.3011381857852724,FALSE,7000,Anchorage ,Anchorage ,
1023dfef,TGO,LOME,LOME,6.052934166720215,1.2244185956189206,FALSE,7000,Anchorage ,Anchorage ,
1023e74b,TGO,LOME,LOME,6.084850008875577,1.2915417250949532,FALSE,7000,Anchorage ,Anchorage ,
1023e0b1,TGO,LOME,LOME,6.0798766224796958,1.2818998701679218,FALSE,7000,Anchorage ,Anchorage ,
1023e09d,TGO,LOME,LOME,6.0694194260286176,1,FALSE,7000,Anchorage ,Anchorage ,
1023dfdb,TGO,LOME,LOME,6.058604347018183,1.238316453885256,FALSE,7000,Anchorage ,Anchorage ,
1023dfe1,TGO,LOME,LOME,6.0640140040557151,1.2290243062035409,FALSE,7000,Anchorage ,Anchorage ,
1023dfdf,TGO,LOME,LOME,6,1.2335790955066526,FALSE,7000,Anchorage ,Anchorage ,
1023e081,TGO,LOME,LOME,6.0693376722479719,1.2528791828198853,FALSE,7000,Anchorage ,Anchorage ,
1023dfe7,TGO,LOME,LOME,6.0585204798675072,1.2290567821473075,FALSE,7000,Anchorage ,Anchorage ,
1023dfed,TGO,LOME,LOME,6.0479213235239371,1.2241308238999076,FALSE,7000,Anchorage ,Anchorage ,
1023e73f,TGO,LOME,LOME,6.0902206978953037,1.3058188321395845,FALSE,7000,Anchorage ,Anchorage ,
1023dfd1,TGO,LOME,LOME,6.0589834855897253,1.243278361261543,FALSE,7000,Anchorage ,Anchorage ,
1023e083,TGO,LOME,LOME,6.0689835929811755,1.2578616703580261,FALSE,7000,Anchorage ,Anchorage ,
