s2id,iso3,label,sublabel,lat,lon,dock,distance_from_shore_m
1023dec9,TGO,LOME,LOME,5.9898,1.2675,FALSE,16000
1023df2b,TGO,LOME,LOME,5.9846,1.2479,FALSE,16000
1023deaf,TGO,LOME,LOME,5.9897,1.2815,FALSE,16000
1023d8c7,TGO,LOME,LOME,5.9688,1.2333,FALSE,16000
1023deb1,TGO,LOME,LOME,5.9895,1.2770,FALSE,16000
1023d8c9,TGO,LOME,LOME,5.9741,1.2339,FALSE,16000
1023dc17,TGO,LOME,LOME,6.0009,1.3009,FALSE,16000
1023d8bb,TGO,LOME,LOME,5.9686,1.2246,FALSE,16000
1023dc59,TGO,LOME,LOME,6.0110,1.3255,FALSE,16000
1023dc11,TGO,LOME,LOME,5.9951,1.3014,FALSE,16000
1023d8b1,TGO,LOME,LOME,5.9745,1.2234,FALSE,16000
1023dea7,TGO,LOME,LOME,5.9949,1.2866,FALSE,16000
1023dc67,TGO,LOME,LOME,6.0009,1.3206,FALSE,16000
1023decd,TGO,LOME,LOME,5.9848,1.2625,FALSE,16000
1023dea9,TGO,LOME,LOME,5.9898,1.2865,FALSE,16000
1023dc1d,TGO,LOME,LOME,5.9949,1.2915,FALSE,16000
1023d8d5,TGO,LOME,LOME,5.9790,1.2478,FALSE,16000
1023d8db,TGO,LOME,LOME,5.9688,1.2435,FALSE,16000
1023d8cf,TGO,LOME,LOME,5.9739,1.2388,FALSE,16000
1023d92d,TGO,LOME,LOME,5.9792,1.2576,FALSE,16000
1023ded5,TGO,LOME,LOME,5.9840,1.2533,FALSE,16000
1023dc6b,TGO,LOME,LOME,6.0002,1.3108,FALSE,16000
1023deb7,TGO,LOME,LOME,5.9894,1.2720,FALSE,16000
1023dc03,TGO,LOME,LOME,5.9899,1.2918,FALSE,16000
1023dc15,TGO,LOME,LOME,5.9998,1.3061,FALSE,16000
1023d8a5,TGO,LOME,LOME,5.9687,1.2196,FALSE,16000
1023d8d1,TGO,LOME,LOME,5.9745,1.2436,FALSE,16000
1023dec7,TGO,LOME,LOME,5.9953,1.2671,FALSE,15000
1023debd,TGO,LOME,LOME,6.0002,1.2770,FALSE,15000
10216207,TGO,LOME,LOME,5.9747,1.2096,FALSE,15000
1023df4d,TGO,LOME,LOME,5.9848,1.2245,FALSE,15000
1023dc25,TGO,LOME,LOME,6.0106,1.2957,FALSE,15000
1023dc57,TGO,LOME,LOME,6.0161,1.3254,FALSE,15000
1023debf,TGO,LOME,LOME,6.0002,1.2723,FALSE,15000
1023dce3,TGO,LOME,LOME,6.0216,1.3397,FALSE,15000
1023dc39,TGO,LOME,LOME,6.0110,1.3058,FALSE,15000
1023dc5b,TGO,LOME,LOME,6.0110,1.3204,FALSE,15000
1023ded9,TGO,LOME,LOME,5.9949,1.2531,FALSE,15000
1023dc43,TGO,LOME,LOME,6.0053,1.3154,FALSE,15000
1023ded7,TGO,LOME,LOME,5.9901,1.2531,FALSE,15000
1023dc5d,TGO,LOME,LOME,6.0054,1.3205,FALSE,15000
1023decf,TGO,LOME,LOME,5.9897,1.2626,FALSE,15000
1023dec1,TGO,LOME,LOME,6.0002,1.2675,FALSE,15000
1023df29,TGO,LOME,LOME,5.9895,1.2479,FALSE,15000
1023dc1f,TGO,LOME,LOME,5.9998,1.2919,FALSE,15000
1023d8cd,TGO,LOME,LOME,5.9790,1.2383,FALSE,15000
1023dcf9,TGO,LOME,LOME,6.0159,1.3304,FALSE,15000
1023dea1,TGO,LOME,LOME,6.0010,1.2868,FALSE,15000
1023d8d3,TGO,LOME,LOME,5.9794,1.2438,FALSE,15000
1023dce5,TGO,LOME,LOME,6.0161,1.3394,FALSE,15000
1023dc3d,TGO,LOME,LOME,6.0056,1.3011,FALSE,15000
1023dc23,TGO,LOME,LOME,6.0056,1.2962,FALSE,15000
1023dc55,TGO,LOME,LOME,6.0218,1.3250,FALSE,15000
1023dc45,TGO,LOME,LOME,6.0106,1.3155,FALSE,15000
1023dc3f,TGO,LOME,LOME,6.0052,1.3056,FALSE,15000
1023dc41,TGO,LOME,LOME,6.0054,1.3109,FALSE,15000
1023d8b3,TGO,LOME,LOME,5.9797,1.2243,FALSE,15000
1023d8ad,TGO,LOME,LOME,5.9791,1.2191,FALSE,15000
1023debb,TGO,LOME,LOME,5.9954,1.2767,FALSE,15000
1023deb9,TGO,LOME,LOME,5.9953,1.2724,FALSE,15000
1023dc5f,TGO,LOME,LOME,6.0055,1.3247,FALSE,15000
1023df33,TGO,LOME,LOME,5.9846,1.2385,FALSE,15000
1023dc47,TGO,LOME,LOME,6.0105,1.3104,FALSE,15000
1023df2d,TGO,LOME,LOME,5.9845,1.2440,FALSE,15000
1023d8b5,TGO,LOME,LOME,5.9794,1.2289,FALSE,15000
1023dea5,TGO,LOME,LOME,5.9950,1.2818,FALSE,15000
1023ded1,TGO,LOME,LOME,5.9898,1.2578,FALSE,15000
1023dc3b,TGO,LOME,LOME,6.0107,1.3015,FALSE,15000
1023df35,TGO,LOME,LOME,5.9848,1.2339,FALSE,15000
1023de9f,TGO,LOME,LOME,6.0050,1.2871,FALSE,15000
1023d8cb,TGO,LOME,LOME,5.9792,1.2334,FALSE,15000
1023dcff,TGO,LOME,LOME,6.0218,1.3295,FALSE,15000
1023df53,TGO,LOME,LOME,5.9843,1.2193,FALSE,15000
1023dea3,TGO,LOME,LOME,6.0002,1.2818,FALSE,15000
1023dfdd,TGO,LOME,LOME,6.0588,1.2340,FALSE,7000
1023dff5,TGO,LOME,LOME,6.0481,1.2146,FALSE,7000
1021601f,TGO,LOME,LOME,6.0472,1.2100,FALSE,7000
1023e07d,TGO,LOME,LOME,6.0745,1.2482,FALSE,7000
1023e713,TGO,LOME,LOME,6.0901,1.3151,FALSE,7000
1023dfd7,TGO,LOME,LOME,6.0636,1.2432,FALSE,7000
1023e0a3,TGO,LOME,LOME,6.0746,1.2720,FALSE,7000
1023dfd9,TGO,LOME,LOME,6.0638,1.2388,FALSE,7000
1023dff1,TGO,LOME,LOME,6.0532,1.2195,FALSE,7000
1021601d,TGO,LOME,LOME,6.0532,1.2101,FALSE,7000
1023e747,TGO,LOME,LOME,6.0850,1.3011,FALSE,7000
1023dfef,TGO,LOME,LOME,6.0529,1.2244,FALSE,7000
1023e74b,TGO,LOME,LOME,6.0849,1.2915,FALSE,7000
1023e0b1,TGO,LOME,LOME,6.0799,1.2819,FALSE,7000
1023e09d,TGO,LOME,LOME,6.0694,1.2628,FALSE,7000
1023dfdb,TGO,LOME,LOME,6.0586,1.2383,FALSE,7000
1023dfe1,TGO,LOME,LOME,6.0640,1.2290,FALSE,7000
1023dfdf,TGO,LOME,LOME,6.0639,1.2336,FALSE,7000
1023e081,TGO,LOME,LOME,6.0693,1.2529,FALSE,7000
1023dfe7,TGO,LOME,LOME,6.0585,1.2291,FALSE,7000
1023dfed,TGO,LOME,LOME,6.0479,1.2241,FALSE,7000
1023e73f,TGO,LOME,LOME,6.0902,1.3058,FALSE,7000
1023dfd1,TGO,LOME,LOME,6.0590,1.2433,FALSE,7000
1023e083,TGO,LOME,LOME,6.0690,1.2579,FALSE,7000
1023e0b5,TGO,LOME,LOME,6.0849,1.2864,FALSE,7000
1023e74d,TGO,LOME,LOME,6.0799,1.2914,FALSE,7000
1023e715,TGO,LOME,LOME,6.0902,1.3104,FALSE,7000
1023dff3,TGO,LOME,LOME,6.0480,1.2194,FALSE,7000
1023e0bb,TGO,LOME,LOME,6.0795,1.2771,FALSE,7000
1023e085,TGO,LOME,LOME,6.0740,1.2577,FALSE,7000
1023e09f,TGO,LOME,LOME,6.0691,1.2674,FALSE,7000
1023e09b,TGO,LOME,LOME,6.0746,1.2626,FALSE,7000
1023e0a1,TGO,LOME,LOME,6.0691,1.2721,FALSE,7000
1023e07f,TGO,LOME,LOME,6.0690,1.2480,FALSE,7000
1023e74f,TGO,LOME,LOME,6.0799,1.2961,FALSE,7000
1023dff7,TGO,LOME,LOME,6.0534,1.2146,FALSE,7000
1023e0b3,TGO,LOME,LOME,6.0798,1.2869,FALSE,7000
1023e099,TGO,LOME,LOME,6.0745,1.2675,FALSE,7000
1023e087,TGO,LOME,LOME,6.0743,1.2530,FALSE,7000
1023e76b,TGO,LOME,LOME,6.0854,1.3107,FALSE,7000
1023e745,TGO,LOME,LOME,6.0796,1.3011,FALSE,7000
1023e0b9,TGO,LOME,LOME,6.0850,1.2769,FALSE,7000
102161ff,TGO,LOME,LOME,5.9847,1.2093,FALSE,14000
1023dc33,TGO,LOME,LOME,6.0214,1.3012,FALSE,14000
1023dd1d,TGO,LOME,LOME,6.0267,1.3394,FALSE,14000
1023dec3,TGO,LOME,LOME,6.0002,1.2626,FALSE,14000
1023de97,TGO,LOME,LOME,6.0053,1.2770,FALSE,14000
1023dc51,TGO,LOME,LOME,6.0159,1.3203,FALSE,14000
1023de99,TGO,LOME,LOME,6.0057,1.2815,FALSE,14000
1023df21,TGO,LOME,LOME,6.0004,1.2483,FALSE,14000
1023dd05,TGO,LOME,LOME,6.0318,1.3347,FALSE,14000
1023dc4f,TGO,LOME,LOME,6.0164,1.3157,FALSE,14000
1023dc49,TGO,LOME,LOME,6.0162,1.3107,FALSE,14000
1023dc53,TGO,LOME,LOME,6.0212,1.3205,FALSE,14000
1023df27,TGO,LOME,LOME,5.9951,1.2481,FALSE,14000
1023dc35,TGO,LOME,LOME,6.0213,1.3062,FALSE,14000
1023df55,TGO,LOME,LOME,5.9845,1.2146,FALSE,14000
1023df49,TGO,LOME,LOME,5.9895,1.2294,FALSE,14000
1023dc37,TGO,LOME,LOME,6.0165,1.3058,FALSE,14000
1023dc31,TGO,LOME,LOME,6.0162,1.3016,FALSE,14000
1023de91,TGO,LOME,LOME,6.0106,1.2774,FALSE,14000
1023dd07,TGO,LOME,LOME,6.0319,1.3303,FALSE,14000
1023dd03,TGO,LOME,LOME,6.0266,1.3347,FALSE,14000
1023dc21,TGO,LOME,LOME,6.0054,1.2914,FALSE,14000
1023df4b,TGO,LOME,LOME,5.9851,1.2291,FALSE,14000
1023dc4b,TGO,LOME,LOME,6.0213,1.3106,FALSE,14000
1023dc4d,TGO,LOME,LOME,6.0214,1.3157,FALSE,14000
1023de9b,TGO,LOME,LOME,6.0111,1.2822,FALSE,14000
1023df2f,TGO,LOME,LOME,5.9896,1.2435,FALSE,14000
1023dc2d,TGO,LOME,LOME,6.0216,1.2962,FALSE,14000
1023dec5,TGO,LOME,LOME,5.9951,1.2629,FALSE,14000
1023dc2f,TGO,LOME,LOME,6.0159,1.2965,FALSE,14000
1023dd1b,TGO,LOME,LOME,6.0313,1.3398,FALSE,14000
1023dedb,TGO,LOME,LOME,5.9953,1.2578,FALSE,14000
1023dedf,TGO,LOME,LOME,6.0004,1.2527,FALSE,14000
1023dc27,TGO,LOME,LOME,6.0108,1.2914,FALSE,14000
1023df37,TGO,LOME,LOME,5.9901,1.2339,FALSE,14000
1023de9d,TGO,LOME,LOME,6.0108,1.2868,FALSE,14000
1023dedd,TGO,LOME,LOME,5.9998,1.2579,FALSE,14000
1023ddab,TGO,LOME,LOME,6.0272,1.3252,FALSE,14000
1023d8ab,TGO,LOME,LOME,5.9795,1.2141,FALSE,14000
1023df51,TGO,LOME,LOME,5.9899,1.2197,FALSE,14000
1023df4f,TGO,LOME,LOME,5.9898,1.2245,FALSE,14000
1023df31,TGO,LOME,LOME,5.9897,1.2385,FALSE,14000
1023deed,TGO,LOME,LOME,6.0109,1.2674,FALSE,13000
1023dd0f,TGO,LOME,LOME,6.0373,1.3345,FALSE,13000
1023df3b,TGO,LOME,LOME,5.9951,1.2383,FALSE,13000
102161fb,TGO,LOME,LOME,5.9899,1.2051,FALSE,13000
1023dda9,TGO,LOME,LOME,6.0317,1.3250,FALSE,13000
1023df39,TGO,LOME,LOME,5.9955,1.2339,FALSE,13000
102161e5,TGO,LOME,LOME,5.9945,1.2048,FALSE,13000
1023dee1,TGO,LOME,LOME,6.0054,1.2527,FALSE,13000
1023dd0b,TGO,LOME,LOME,6.0426,1.3302,FALSE,13000
1023df5b,TGO,LOME,LOME,5.9955,1.2193,FALSE,13000
1023de85,TGO,LOME,LOME,6.0168,1.2815,FALSE,13000
1023df43,TGO,LOME,LOME,6.0007,1.2246,FALSE,13000
