"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","entrance","navy","west_basin","mid_basin","east_basin","container","dak_fishing","dak_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"IRIS","629009068","GMB","GMB","8303288","fishing","high","fishing","trawlers","GMB","BANJUL",2025-07-28 13:32:12,4,2025-07-28 23:51:38,4,0.4,"DAKAR",2025-07-28 22:55:56,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8b7e94ff6-6fe5-0434-4c10-8f915e9f4a36?&start=2025-07-26&end=2025-07-30"")"
"YANGMIN8002","412209196","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-01 13:54:36,4,2025-07-29 15:20:39,4,28,"DAKAR",2025-07-01 13:54:36,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,30,62.4583333333334,"SEN, GNB",FALSE,"SRFC, ACAP, NAMMCO, IWC, ICCAT",FALSE,0,TRUE,8,FALSE,0,5.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f23a6145b-bb7f-8e7e-5c7e-61a9e335f577?&start=2025-06-29&end=2025-07-31"")"
"YIFENG21","412209011","unknown","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-28 23:30:58,4,2025-07-30 04:11:36,4,31.2,"DAKAR",2025-06-28 23:30:58,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2025-06-26&end=2025-08-01"")"
"YIFENG10","412200999","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-25 15:06:59,4,2025-07-30 14:34:56,4,35,"DAKAR",2025-06-25 15:06:59,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5de9be58-8b54-b6da-c3b6-408c3c806ce8?&start=2025-06-23&end=2025-08-01"")"
"SHENG HAI 17","412200978","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-28 15:35:58,4,2025-07-30 14:46:42,4,2,"DAKAR",2025-01-14 22:27:13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,12.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad3800ca1-1e25-979b-4b28-ac00b6c34942?&start=2025-07-26&end=2025-08-01"")"
"YIFENG28","412209126","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-06-25 01:32:53,4,2025-07-30 15:41:13,4,35.6,"DAKAR",2025-06-25 01:32:53,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,8,FALSE,0,6.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e37cb040b-bbe1-3f3c-c4fc-69d978402d3f?&start=2025-06-23&end=2025-08-01"")"
"YANGMING8001","412209195","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-07-18 14:26:04,4,2025-07-30 15:57:23,4,12,"DAKAR",2025-07-18 14:26:04,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,2.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2e5f4ad48-88f3-9803-7051-7a03e4d7c782?&start=2025-07-16&end=2025-08-01"")"
"TIANG EI HU","412209083","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-07-30 14:04:52,4,2025-07-30 20:00:23,4,0.2,"DAKAR",2025-07-30 14:04:52,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,42.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/364511e7e-ec82-68e9-2702-2ec05725207d?&start=2025-07-28&end=2025-08-01"")"
"YANGMING8032","412209009","","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-03 18:25:36,4,2025-07-31 03:39:18,4,27.4,"DAKAR",2025-07-03 18:25:36,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,125,391.240277777778,"GNB, SEN",FALSE,"SRFC, ACAP, NAMMCO, ICCAT, IWC",FALSE,0,TRUE,37,FALSE,0,28.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fff3fc565-577b-cea2-43c6-9e6c215281f7?&start=2025-07-01&end=2025-08-02"")"
"YI FENG 26","412209123","CHN","CHN",NA,"fishing","low","fishing","unknown","SEN","DAKAR",2025-06-30 05:12:03,4,2025-07-31 04:00:36,4,30.9,"DAKAR",2025-06-30 05:12:03,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,7,FALSE,0,6.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a41428649-904a-9c5a-8352-36c736c97746?&start=2025-06-28&end=2025-08-02"")"
"ZILLARRI","312507000","BLZ","BLZ","9095266","fishing","low","support","purse_seine_support","SEN","DAKAR",2025-07-26 17:28:02,4,2025-07-31 12:12:31,4,4.8,"DAKAR",2025-07-26 17:28:02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,33.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1eb24bd25-5b68-347b-9498-ad3df136de22?&start=2025-07-24&end=2025-08-02"")"
"HAIXIN28","412201872","CHN","CHN",NA,"fishing","med","fishing","trawlers","SEN","DAKAR",2025-07-10 00:14:32,4,2025-08-01 05:19:51,4,22.2,"DAKAR",2025-07-10 00:14:32,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,210,698.305555555557,"GNB",FALSE,"ICCAT, NAMMCO, SRFC, ACAP, IWC",FALSE,0,TRUE,23,FALSE,0,44.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d1f13f8ac-c4f3-dea2-d606-7a09a743e936?&start=2025-07-08&end=2025-08-03"")"
"DOCE DE JULIO","224910000","ESP","ESP","9978107","fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-26 22:53:42,4,2025-08-01 05:35:02,4,35.3,"DAKAR",2025-06-26 22:53:42,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,540,14255.2666666667,"GNB, SEN",FALSE,"IWC, SRFC, ACAP, NAMMCO, ICCAT",FALSE,0,TRUE,3,FALSE,0,99.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6409b3d06-613e-008e-4380-d7f8cd30019e?&start=2025-06-24&end=2025-08-03"")"
"ALBONIGA","224745000","ESP","ESP","8613267","fishing","high","fishing","purse_seines","CPV","PALMEIRA",2025-07-21 02:07:04,4,2025-08-01 15:35:58,4,11.5,"DAKAR",2025-07-10 16:45:06,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,90,495.6875,"CPV, MRT",FALSE,"IWC, ACAP, NAMMCO, SRFC, ICCAT",FALSE,0,TRUE,8,TRUE,10,36.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/818356b57-7844-a4ae-919e-36a06ae5a84a?&start=2025-07-19&end=2025-08-03"")"
"ZHOUYULENG7","412400790","CHN","CHN",NA,"carrier","high","carrier","carrier","GNB","BISSAU",2025-07-30 15:53:27,4,2025-08-02 07:20:27,3,2.6,"DAKAR",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0690b0b21-1f2c-a636-f0c7-cb20f79a6f59?&start=2025-07-28&end=2025-08-04"")"
"CROWN JADE","311000791","BHS","BHS","9128051","carrier","low","carrier","carrier","RUS","VISTINO",2025-07-24 01:41:22,4,2025-08-02 20:19:43,4,9.8,"DAKAR",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,2,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ce73757af-fa62-9997-9274-3c40de17c524?&start=2025-07-22&end=2025-08-04"")"
"CROWN JADE","311000791","BHS","BHS","9128051","carrier","low","carrier","carrier","RUS","VISTINO",2025-07-24 01:41:22,4,2025-08-02 20:19:43,3,9.8,"DAKAR",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,2,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ce73757af-fa62-9997-9274-3c40de17c524?&start=2025-07-22&end=2025-08-04"")"
"YANGMING8006","412209198","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-07 17:39:52,4,2025-08-03 22:25:01,4,27.2,"DAKAR",2025-07-07 17:39:52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,4,FALSE,0,6.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/053be272f-f82e-093f-d86c-862ba01b963d?&start=2025-07-05&end=2025-08-05"")"
"ALFONSO RIERA TERCER","224282000","ESP","ESP","8734877","fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-01 13:05:28,4,2025-08-04 23:30:17,4,34.4,"DAKAR",2025-07-01 13:05:28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,270,11308.6472222222,"SEN, GNB",FALSE,"NAMMCO, SRFC, IWC, ACAP, ICCAT",FALSE,0,FALSE,0,FALSE,0,99.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d7f0a49c3-35ca-c6db-7786-d49a798e2e3c?&start=2025-06-29&end=2025-08-06"")"
"DIMITRIOS I","629009092","GMB","GMB","8675899","fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-12 11:50:50,4,2025-08-05 03:27:29,4,23.6,"DAKAR",2025-07-12 11:50:50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,60,4907.87222222222,"GNB",FALSE,"SRFC, IWC, ICCAT, NAMMCO, ACAP",FALSE,0,TRUE,6,FALSE,0,97.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f581b4c7a-a4e9-81b0-dd1f-add5a6830a79?&start=2025-07-10&end=2025-08-07"")"
"HAIXIN27","412201871","CHN","CHN",NA,"fishing","high","fishing","unknown","GNB","BISSAU",2025-07-29 09:19:58,4,2025-08-06 11:44:27,4,8.1,"DAKAR",2025-06-30 15:08:44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b7d69a539-9155-ba85-3408-9a93597a3784?&start=2025-07-27&end=2025-08-08"")"
