"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","at_dock","tema_general","tema_fuel","tema_fishing","tema_offshore","takoradi_general","takoradi_north","sekondi_takoradi","takoradi_offshore","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"FRIO CHIKUMA","311001575","BHS","BHS","9184536","carrier","high","carrier","carrier","MRT","CANSADO",2025-06-29 02:36:44,4,2025-07-06 16:25:55,4,7.5,"TEMA",2025-02-01 23:35:09,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/99978859a-a724-2fdc-81f3-5539b528a994?&start=2025-06-27&end=2025-07-08"")"
"SAVANNA WIND","311001133","BHS","BHS","9791286","carrier","high","carrier","carrier","LBR","MONROVIA",2025-07-19 14:15:21,4,2025-07-22 13:05:06,4,2.9,"TEMA",2025-05-14 17:43:51,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7325ce778-87c6-b220-46f1-e1062968d477?&start=2025-07-17&end=2025-07-24"")"
"RANGIROA","312599000","BLZ","BLZ","8210259","carrier","high","carrier","carrier","TGO","LOME",2025-07-30 21:25:30,4,2025-07-31 07:29:28,3,0.4,"TEMA",2025-05-25 08:14:57,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2a3ce48d8-86e0-ab1e-5be1-448b5ec9e2aa?&start=2025-07-28&end=2025-08-02"")"
"ORANGE  FROST","306883000","CUW","BES","9797656","carrier","low","other","other","MRT","CANSADO",2025-07-06 21:12:01,4,2025-07-12 20:15:31,4,6,"TEMA",2025-05-22 19:17:57,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b06d84389-9205-2d67-6632-e62e97492eaa?&start=2025-07-04&end=2025-07-14"")"
"NOVAYA ZEMLYA","325955000","DMA","DMA","8514796","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-09 16:35:23,4,2025-07-16 13:57:42,4,6.9,"TEMA",2024-09-20 19:03:38,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7b6688435-5b3a-7a03-f26b-8ac411de28aa?&start=2025-07-07&end=2025-07-18"")"
"GREENSEA BERMEO","245340000","NLD","NLD","9238703","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-24 16:55:39,4,2025-07-30 08:18:59,4,5.6,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d53ba7d67-79e3-2bc0-1e2b-743bd53c82bb?&start=2025-07-22&end=2025-08-01"")"
"COOL GIRL","354294000","PAN","PAN","9194921","carrier","low","carrier","carrier","MRT","CANSADO",2025-06-24 15:43:39,4,2025-07-01 14:31:05,4,6.9,"TEMA",2024-12-15 19:23:22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad9a86c7c-cdba-b3c9-c490-ef49adf8c407?&start=2025-06-22&end=2025-07-03"")"
"DEEP WATERS","677028300","TZA","TZA",NA,"carrier","low","other","other","TGO","LOME",2025-06-29 04:40:22,4,2025-07-01 14:32:51,4,2.4,"TEMA",2025-05-08 03:30:32,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,6.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-06-27&end=2025-07-03"")"
"DEEP WATERS","677028300","TZA","TZA",NA,"carrier","low","other","other","TGO","LOME",2025-07-05 04:17:37,4,2025-07-20 22:51:23,4,15.8,"TEMA",2025-07-04 11:22:28,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-07-03&end=2025-07-22"")"
"DICHA SIETE","312177000","BLZ","BLZ","9197650","fishing","low","passenger","passenger","GHA","TEMA",2025-07-17 09:12:07,4,2025-08-25 16:20:21,4,39.3,"TEMA",2025-07-17 09:12:07,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,71,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5758f6250-0c66-39ba-641f-74a058d93404?&start=2025-07-15&end=2025-08-27"")"
"DICHA SIETE","312177000","BLZ","BLZ","9197650","fishing","low","passenger","passenger","CIV","PORT BOUET ANCHORAGE",2025-07-03 10:15:40,4,2025-07-04 08:24:42,4,0.9,"TEMA",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,78.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5758f6250-0c66-39ba-641f-74a058d93404?&start=2025-07-01&end=2025-07-06"")"
"BAO WIN","312797000","BLZ","BLZ","7360320","fishing","high","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-09-27 09:59:25,4,2025-09-30 15:32:07,4,3.2,"TEMA",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,35.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b5d3439b6-6d19-5385-9d6b-08a0dfd60fa7?&start=2025-09-25&end=2025-10-02"")"
"DICHA UNO","312697000","BLZ","BLZ","8029026","fishing","low","fishing","inconclusive","CIV","ABIDJAN",2025-07-27 12:55:44,4,2025-07-30 06:13:02,4,2.7,"TEMA",2025-04-30 19:28:39,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,30.8944444444445,"GHA",FALSE,"IWC, ICCAT, NAMMCO, FCWC, ACAP",FALSE,0,FALSE,0,TRUE,1,28.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2025-07-25&end=2025-08-01"")"
"HLF9","412209620","CHN","CHN",NA,"fishing","high","fishing","trawlers","AGO","LOBITO",2025-05-22 07:00:58,4,2025-07-17 10:16:27,4,56.1,"TEMA",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/411023902-2cce-4134-176e-408abc08f4e4?&start=2025-05-20&end=2025-07-19"")"
"LUYANKAIYUANYU877","412330999","CHN","CHN",NA,"fishing","high","fishing","fishing","GHA","TEMA",2025-07-01 02:25:59,4,2025-07-10 10:41:34,4,9.3,"TEMA",2025-10-06 06:11:06,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1a2aa8358-8492-c841-4eef-e93b65af6ac6?&start=2025-06-29&end=2025-07-12"")"
"LURONGYUANYU215","412329513","CHN","CHN",NA,"fishing","low","other","other","GIN","CONAKRY",2025-07-21 00:00:05,4,2025-09-06 15:08:41,4,47.6,"SEKONDI-TAKORADI",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/38ebd76c7-72a6-055c-23b5-387fefb03a5a?&start=2025-07-19&end=2025-09-08"")"
"LURONGYUANYU217","412329515","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-14 00:46:02,3,2025-07-14 04:46:02,3,0.2,"TEMA",2025-07-28 18:28:16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,20,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c18732496-63f4-bef2-fc9a-cf5bdbbecad3?&start=2025-07-12&end=2025-07-16"")"
"HAILUFENG 10","412209630","CHN","CHN",NA,"fishing","high","fishing","fishing","GHA","TEMA",2025-08-01 05:12:05,3,2025-08-01 19:35:03,3,0.6,"SEKONDI-TAKORADI",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,33.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/005035fdd-d0cd-9fb3-2c30-9a5412e1324e?&start=2025-07-30&end=2025-08-03"")"
"LURONGYUANYU217","412329515","CHN","CHN",NA,"fishing","high","fishing","trawlers","GHA","TEMA",2025-08-15 13:01:07,3,2025-09-03 09:54:20,3,18.8,"SEKONDI-TAKORADI",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c18732496-63f4-bef2-fc9a-cf5bdbbecad3?&start=2025-08-13&end=2025-09-05"")"
"F/V GUEOTEC","227549000","FRA","FRA","8912986","fishing","high","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-06-23 09:24:03,4,2025-08-03 07:10:26,4,40.9,"TEMA",2024-10-07 15:32:37,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,20,21.5861111111111,"GHA",FALSE,"ICCAT, IWC, ACAP, FCWC, NAMMCO",FALSE,0,FALSE,0,FALSE,0,1.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/96e442d84-489f-962f-588a-33e367aa0330?&start=2025-06-21&end=2025-08-05"")"
"MAJESTIC III","235002499","GBR","GBR",NA,"fishing","high","fishing","trawlers","LBR","MONROVIA",2025-08-10 08:25:54,4,2025-08-15 19:29:33,3,5.5,"TEMA",NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,1.99027777777778,"LBR",FALSE,"NAMMCO, ICCAT, IWC, FCWC, ACAP",FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ee3b4eb25-5fb1-ee4c-f384-8f55c3b5f846?&start=2025-08-08&end=2025-08-17"")"
"IBFISH3","271073172","GEO","TUR","9808534","fishing","high","fishing","other_purse_seines","TGO","LOME",2025-07-10 20:18:46,4,2025-07-12 08:10:49,4,1.5,"SEKONDI-TAKORADI",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,3.73333333333333,"GHA",FALSE,"FCWC, NAMMCO, IWC, ICCAT, ACAP",FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e7e7137a3-3225-97d5-3034-3e8e9a627278?&start=2025-07-08&end=2025-07-14"")"
"KORYO MARU NO.1","432458000","JPN","JPN","9315599","fishing","high","fishing","drifting_longlines","ESP","LAS PALMAS",2025-04-24 17:48:06,4,2025-07-01 06:11:34,4,67.5,"TEMA",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,236,2663.97972222222,NA,TRUE,"IWC, ACAP, NAMMCO, ICCAT",TRUE,1,TRUE,46,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f1d28200f-f91f-390b-2ba1-e2025fca4ab8?&start=2025-04-22&end=2025-07-03"")"
