Action,Rationale (Remove / Check),Name,Flag,Vessel type,Gear type,Confidence 2 port visits check,TMT notes,vessel_name,MMSI,Flag2,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,Trip start,trip_end,Trip End ,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage
REMOVE ,not reefer,,,,,,,STAR FIRST,311000876,BHS,other,other,CIV,ABIDJAN,1/23/25 17:52,4,1/27/25 1:18,4,"3,3",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,ALFONSO RIERA TERCER,224282000,ESP,fishing,trawlers,GNB,BISSAU,02/06/2025 20:07,4,03/12/2025 17:09,4,"33,9",DAKAR,TRUE,"6,880,716,667",GNB,FALSE,"IWC, NAMMCO, SRFC, ACAP, ICCAT",FALSE,NA,TRUE,2,TRUE,100
,,,,,,,,YANGMING8006,412209198,CHN,fishing,trawlers,GNB,BISSAU,03/12/2025 19:31,4,3/27/25 1:50,4,"14,3",DAKAR,TRUE,"3,979,529,167","GNB, SEN",FALSE,"NAMMCO, ACAP, SRFC, IWC, ICCAT",FALSE,NA,TRUE,7,TRUE,"93,9"
REMOVE ,Research vessel ,,,,,,,ALHASSAN ALMARRAKCHI,242017400,MAR,fishing,inconclusive,MAR,AGADIR,01/09/2025 16:14,4,1/23/25 8:48,4,"13,7",DAKAR,TRUE,"1,450,573,333","ESH, MRT",FALSE,"SRFC, NAMMCO, ACAP, ICCAT, IWC",FALSE,NA,TRUE,18,NA,100
,,,,,,,,ZHEN YUAN YU 820,412420887,CHN,fishing,trawlers,GIN,CONAKRY,01/11/2025 18:11,4,1/13/25 12:58,4,"1,8",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,ALFONSO RIERA CUARTO,224026860,ESP,fishing,trawlers,MRT,CANSADO,1/31/25 7:51,4,02/02/2025 00:31,4,"1,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,FENG YA NO.11,416379000,TWN,fishing,drifting_longlines,SEN,DAKAR,2/24/24 8:30,4,2/20/25 8:35,4,362,DAKAR,TRUE,"1,046,769,056",SEN,TRUE,"ICCAT, SRFC, ACAP, NAMMCO, IWC",TRUE,37,TRUE,36,NA,NA
CHECK,,,,,unknown,,,ELSAAD,629009158,GMB,fishing,unknown,SEN,DAKAR,2/21/25 22:10,4,3/17/25 18:54,4,"23,8",DAKAR,TRUE,"4,462,655,556",GMB,FALSE,"IWC, ACAP, NAMMCO, ICCAT, SRFC",FALSE,NA,TRUE,2,TRUE,"98,6"
REMOVE ,not reefer,,,,,,,COLOMBIAN STAR,636014240,LBR,carrier,carrier,CIV,ABIDJAN,2/14/25 16:27,4,2/17/25 14:44,4,"2,9",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
,,,,,unknown,,,ZHEN YUAN YU 828,412420878,CHN,fishing,unknown,GIN,CONAKRY,01/01/2025 17:47,4,01/03/2025 11:26,4,"1,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"97,7"
