s2id,iso3,label,sublabel,tmt_sublabel,lat,lon,dock,distance_from_shore_m
103cada7,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.260811933,2.502041811,FALSE,11000
103caddd,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255611272,2.532360472,FALSE,11000
103cadbb,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.260385368,2.512280708,FALSE,11000
103cada3,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255730261,2.507693608,FALSE,11000
103cada5,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.260713682,2.507624606,FALSE,11000
103caddb,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.261347523,2.531737101,FALSE,11000
103cadbd,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255771009,2.512155743,FALSE,11000
103cad95,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.250344162,2.516802469,FALSE,12000
103cad9b,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.245036622,2.508033215,FALSE,12000
103cad93,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.245531633,2.516998773,FALSE,12000
103cad91,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.245284286,2.512308563,FALSE,12000
103cad97,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.250899056,2.512151414,FALSE,12000
103cadfb,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.240014373,2.532150018,FALSE,13000
103cade5,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.244746122,2.532454873,FALSE,13000
