s2id,iso3,label,sublabel,lat,lon,PSMA Use,Use
103c0b3b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.340710066,3.43217297,YES,Outer anchorage 
103c7697,NGA,LAGOS,OUTER ANCHORAGE EAST,6.336410882,3.326353025,YES,Outer anchorage 
103c769b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.341391993,3.331478962,YES,Outer anchorage 
103c7461,NGA,LAGOS,OUTER ANCHORAGE EAST,6.329987012,3.376134893,YES,Outer anchorage 
103c7441,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335590269,3.361692445,YES,Outer anchorage 
103c7427,NGA,LAGOS,OUTER ANCHORAGE EAST,6.341291627,3.341475291,YES,Outer anchorage 
103c7695,NGA,LAGOS,OUTER ANCHORAGE EAST,6.336248724,3.32137149,YES,Outer anchorage 
103c0b27,NGA,LAGOS,OUTER ANCHORAGE EAST,6.351047123,3.43227277,YES,Outer anchorage 
103c0b35,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335294494,3.42219895,YES,Outer anchorage 
103c769d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.341615802,3.336456131,YES,Outer anchorage 
103c0b31,NGA,LAGOS,OUTER ANCHORAGE EAST,6.340263416,3.427596866,YES,Outer anchorage 
103c0ae3,NGA,LAGOS,OUTER ANCHORAGE EAST,6.356459851,3.447127287,YES,Outer anchorage 
103c0a57,NGA,LAGOS,OUTER ANCHORAGE EAST,6.361379967,3.462559576,YES,Outer anchorage 
103c743f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335267871,3.356787913,YES,Outer anchorage 
103c0aff,NGA,LAGOS,OUTER ANCHORAGE EAST,6.356711999,3.45731808,YES,Outer anchorage 
103c7439,NGA,LAGOS,OUTER ANCHORAGE EAST,6.341316855,3.356644313,YES,Outer anchorage 
103c7447,NGA,LAGOS,OUTER ANCHORAGE EAST,6.340794283,3.361586376,YES,Outer anchorage 
103c7489,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325076088,3.381918131,YES,Outer anchorage 
103c0afb,NGA,LAGOS,OUTER ANCHORAGE EAST,6.361510388,3.452315416,YES,Outer anchorage 
103c74cb,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335306519,3.417054632,YES,Outer anchorage 
103c76ed,NGA,LAGOS,OUTER ANCHORAGE EAST,6.341766416,3.316424988,YES,Outer anchorage 
103c7691,NGA,LAGOS,OUTER ANCHORAGE EAST,6.341441597,3.326241459,YES,Outer anchorage 
103c7463,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325052992,3.376450867,YES,Outer anchorage 
103c0b37,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335489318,3.427530951,YES,Outer anchorage 
103c0b23,NGA,LAGOS,OUTER ANCHORAGE EAST,6.346034208,3.437158188,YES,Outer anchorage 
103c0af9,NGA,LAGOS,OUTER ANCHORAGE EAST,6.361408688,3.457512606,YES,Outer anchorage 
103c743b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.34098673,3.351520558,YES,Outer anchorage 
103c0a55,NGA,LAGOS,OUTER ANCHORAGE EAST,6.356141136,3.462826303,YES,Outer anchorage 
103c74c5,NGA,LAGOS,OUTER ANCHORAGE EAST,6.340749151,3.40699168,YES,Outer anchorage 
103c0ae5,NGA,LAGOS,OUTER ANCHORAGE EAST,6.361493645,3.447098045,YES,Outer anchorage 
103c7423,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335610632,3.346338766,YES,Outer anchorage 
103c748b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330351931,3.38179391,YES,Outer anchorage 
103c0b2f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.345742465,3.427146476,YES,Outer anchorage 
103c0b21,NGA,LAGOS,OUTER ANCHORAGE EAST,6.35106416,3.437045502,YES,Outer anchorage 
103c7699,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335852036,3.331151546,YES,Outer anchorage 
103c0b33,NGA,LAGOS,OUTER ANCHORAGE EAST,6.340599749,3.42195667,YES,Outer anchorage 
103c0b19,NGA,LAGOS,OUTER ANCHORAGE EAST,6.346151987,3.44223805,YES,Outer anchorage 
103c76eb,NGA,LAGOS,OUTER ANCHORAGE EAST,6.336406544,3.316396378,YES,Outer anchorage 
103c743d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.33561868,3.351581733,YES,Outer anchorage 
103c0b29,NGA,LAGOS,OUTER ANCHORAGE EAST,6.351379846,3.427498432,YES,Outer anchorage 
103c74cf,NGA,LAGOS,OUTER ANCHORAGE EAST,6.340476906,3.411696706,YES,Outer anchorage 
103c769f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335643182,3.336349882,YES,Outer anchorage 
103c74c7,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335586199,3.407118569,YES,Outer anchorage 
103c0afd,NGA,LAGOS,OUTER ANCHORAGE EAST,6.356173269,3.452529023,YES,Outer anchorage 
103c7421,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335495436,3.341833285,YES,Outer anchorage 
103c0a53,NGA,LAGOS,OUTER ANCHORAGE EAST,6.356657697,3.467316919,YES,Outer anchorage 
103c0b1f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.350736979,3.442071466,YES,Outer anchorage 
103c7a53,NGA,LAGOS,OUTER ANCHORAGE WEST,6.278061558,3.220673277,YES,Outer anchorage 
103c7bbd,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283406788,3.200534453,YES,Outer anchorage 
103c7a51,NGA,LAGOS,OUTER ANCHORAGE WEST,6.2780142,3.225718521,YES,Outer anchorage 
