"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","entrance","navy","west_basin","mid_basin","east_basin","container","dak_fishing","dak_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"SHENG HAI 17","412200978","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-28 15:35:58,"4",2025-07-30 14:46:42,"4","2","DAKAR",2025-01-14 22:27:13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,12.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad3800ca1-1e25-979b-4b28-ac00b6c34942?&start=2025-07-26&end=2025-08-01"")"
"YIFENG7","412200996","CHN","CHN",NA,"fishing","med","fishing","trawlers","MEX","MEX-175",2025-09-05 21:17:13,"4",2025-09-07 13:47:12,"4","1.7","DAKAR",2025-07-29 19:59:16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,12.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e0d511224-49a9-8047-a2ed-4fc1d0aaf626?&start=2025-09-03&end=2025-09-09"")"
"YIFENG 09","412200998","CHN","CHN",NA,"fishing","low","fishing","trawlers","MEX","MEX-175",2025-06-28 10:30:18,"4",2025-08-30 07:41:12,"4","62.9","DAKAR",2025-05-10 13:30:23,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,3,TRUE,1,18.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/25ecd2d23-37dd-a0cd-0b59-a2fc2e477601?&start=2025-06-26&end=2025-09-01"")"
"YIFENG10","412200999","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-25 15:06:59,"4",2025-07-30 14:34:56,"4","35","DAKAR",2025-07-19 03:00:51,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5de9be58-8b54-b6da-c3b6-408c3c806ce8?&start=2025-06-23&end=2025-08-01"")"
"YIFENG10","412200999","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-08-01 11:51:45,"4",2025-09-03 23:50:39,"4","33.5","DAKAR",2025-08-01 11:51:45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,2,FALSE,0,1.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5de9be58-8b54-b6da-c3b6-408c3c806ce8?&start=2025-07-30&end=2025-09-05"")"
"SHENG HAI 3 HAO","412201826","CHN","CHN",NA,"fishing","med","fishing","trawlers","GIN","CONAKRY",2025-07-02 02:40:30,"4",2025-07-14 07:53:13,"4","12.2","DAKAR",2025-01-17 06:49:56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5a8ffeb8a-a740-d004-d8f3-a32e48a7dcb7?&start=2025-06-30&end=2025-07-16"")"
"HAIXIN27","412201871","CHN","CHN",NA,"fishing","high","fishing","unknown","COG","POINTE NOIRE",2025-06-21 01:46:28,"4",2025-09-08 22:15:17,"3","79.8","DAKAR",2025-08-06 20:01:36,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,3,FALSE,0,0.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/25f4f624f-fbe6-5e1d-a229-2a1588bfbc70?&start=2025-06-19&end=2025-09-10"")"
"HAIXIN27","412201871","CHN","CHN",NA,"fishing","high","fishing","unknown","GNB","BISSAU",2025-07-29 09:19:58,"4",2025-08-06 11:44:27,"4","8.1","DAKAR",2025-06-30 15:08:44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b7d69a539-9155-ba85-3408-9a93597a3784?&start=2025-07-27&end=2025-08-08"")"
"YANGMING8032","412209009","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-01 23:46:39,"4",2025-07-03 01:05:30,"4","1","DAKAR",2025-07-01 23:46:39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,74.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fff3fc565-577b-cea2-43c6-9e6c215281f7?&start=2025-06-29&end=2025-07-05"")"
"YANGMING8032","412209009","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-09-18 22:15:37,"4",2025-09-20 14:02:35,"4","1.6","DAKAR",2025-09-18 22:15:37,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,63.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fff3fc565-577b-cea2-43c6-9e6c215281f7?&start=2025-09-16&end=2025-09-22"")"
