"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","at_dock","tema_general","tema_fuel","tema_fishing","takoradi_general","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"AB PALOMA","352898752","PAN","PAN","9378199","bunker","TMT","other","other","CIV","ABIDJAN",2025-06-04 13:51:54,4,2025-06-07 06:13:50,4,2.7,"TEMA",2025-05-31 05:45:29,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/080be97eb-b2a4-ccda-193b-d28e5f80b9a9?&start=2025-06-02&end=2025-06-09"")"
"AB PALOMA","352898752","PAN","PAN","9378199","bunker","TMT","other","other","TGO","LOME",2025-05-28 05:09:30,4,2025-05-28 13:15:40,4,0.3,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/080be97eb-b2a4-ccda-193b-d28e5f80b9a9?&start=2025-05-26&end=2025-05-30"")"
"ALBI","511100768","PLW","PLW","9444821","bunker","TMT","other","other","TGO","LOME",2025-05-31 19:31:49,4,2025-06-02 04:21:02,4,1.3,"SEKONDI-TAKORADI",NA,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7169bf040-0556-b4e3-a55d-cb72667a93ce?&start=2025-05-29&end=2025-06-04"")"
"ALBI","511100768","PLW","PLW","9444821","bunker","TMT","other","other","TGO","LOME",2025-06-13 22:40:11,4,2025-06-15 05:14:17,4,1.3,"SEKONDI-TAKORADI",2025-06-02 19:51:21,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7169bf040-0556-b4e3-a55d-cb72667a93ce?&start=2025-06-11&end=2025-06-17"")"
"ALBI","511100768","PLW","PLW","9444821","bunker","TMT","other","other","GHA","SEKONDI-TAKORADI",2025-06-02 19:51:21,4,2025-06-03 11:32:47,4,0.6,"TEMA",NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7169bf040-0556-b4e3-a55d-cb72667a93ce?&start=2025-05-31&end=2025-06-05"")"
"RIVER OAK","538005559","DEU","MHL","9438157","bunker","TMT","other","other","CIV","ABIDJAN",2025-05-31 12:41:04,4,2025-06-16 17:03:01,4,16.2,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,TRUE,1,TRUE,16,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/095b91911-1b69-5cd9-a2c0-3560cadd0110?&start=2025-05-29&end=2025-06-18"")"
"CHARIS","671026300","TGO","TGO","7925168","bunker","TMT","other","other","GHA","TEMA",2025-04-28 09:00:24,3,2025-06-08 02:15:40,4,40.7,"TEMA",2025-04-28 09:00:24,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,2.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/30ad986c4-44c1-cda3-eb3d-afbc58fd9f4b?&start=2025-04-26&end=2025-06-10"")"
"CHARIS","671026300","TGO","TGO","7925168","bunker","TMT","other","other","GHA","TEMA",2024-08-19 04:37:28,4,2025-04-02 12:45:40,3,226.3,"TEMA",2024-08-19 04:37:28,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,2.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/49c8bbf81-1407-232d-de7f-efee36ce3d32?&start=2024-08-17&end=2025-04-04"")"
"DEEP WATERS","677028300","TZA","TZA",NA,"carrier","low","tanker","tanker","TGO","LOME",2025-04-01 05:28:54,4,2025-04-02 08:46:51,4,1.1,"TEMA",2025-03-25 07:54:10,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,21.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-03-30&end=2025-04-04"")"
"DEEP WATERS","677028300","TZA","TZA",NA,"carrier","low","tanker","tanker","TGO","LOME",2025-04-21 22:40:29,3,2025-04-22 02:43:20,3,0.2,"TEMA",2025-04-17 01:13:34,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,20,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-04-19&end=2025-04-24"")"
"F/V STERENN","226180000","FRA","FRA","9225548","fishing","high","fishing","tuna_purse_seines","GHA","JUBILEE FIELD",2025-06-25 13:51:26,4,2025-06-25 19:51:09,4,0.2,"SEKONDI-TAKORADI",NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ec049fc02-2932-810d-f9b3-293e4eec0799?&start=2025-06-23&end=2025-06-27"")"
"ATLANTIC PRINCE","312867000","BLZ","BLZ","8919415","fishing","high","fishing","tuna_purse_seines","GHA","TEMA",2025-05-05 13:15:18,4,2025-05-07 06:56:27,4,1.7,"TEMA",2025-05-05 13:15:18,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2025-05-03&end=2025-05-09"")"
