"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","tema_general","tema_fuel","tema_fishing","takoradi_general","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"BELBEK","212857000","CYP","CYP","9140970","carrier","high","carrier","carrier","LBR","MONROVIA",2025-04-16 11:47:52,4,2025-04-19 18:29:51,4,3.3,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,90,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5f4c3e0d4-4902-21a5-b0ca-b3aa0b734cb2?&start=2025-04-14&end=2025-04-21"")"
"RANGIROA","312599000","BLZ","BLZ","8210259","carrier","high","carrier","carrier","MRT","CANSADO",2025-05-15 19:06:19,4,2025-05-22 20:08:49,4,7,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,97.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2a3ce48d8-86e0-ab1e-5be1-448b5ec9e2aa?&start=2025-05-13&end=2025-05-24"")"
NA,"412330999","CHN","CHN",NA,"fishing","high","fishing","fishing","GHA","TEMA",2024-11-01 20:01:35,4,2025-04-13 17:37:25,3,162.9,"TEMA",FALSE,FALSE,FALSE,FALSE,48,110.675555555556,"CHN",FALSE,"IWC, WCPFC, PICES, ACAP",FALSE,0,TRUE,6,FALSE,0,17,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4886ba6fc-c511-1d4b-27d7-431209b87965?&start=2024-10-30&end=2025-04-15"")"
"MV PEACE RIVER","657283600","NGA","NGA",NA,"fishing","low","fishing","fishing","GHA","TEMA",2025-04-03 09:16:37,4,2025-04-04 18:15:52,4,1.3,"TEMA",FALSE,FALSE,TRUE,FALSE,50,202.802777777778,"GHA",FALSE,"ACAP, NAMMCO, FCWC, ICCAT, IWC",FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c1307610e-e807-7588-87a2-e1e5cd645a6d?&start=2025-04-01&end=2025-04-06"")"
"GAGDDMG","412209163","CHN","CHN",NA,"fishing","med","fishing","inconclusive","GHA","TEMA",2025-04-28 15:34:22,4,2025-05-04 08:54:47,4,5.7,"TEMA",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,5.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b6190ac7f-f3fa-efec-1b86-122ae6e1ef38?&start=2025-04-26&end=2025-05-06"")"
"HAILUFENG8","412209610","CHN","CHN",NA,"fishing","med","fishing","inconclusive","CIV","ABIDJAN",2025-04-03 18:45:57,3,2025-04-03 23:26:19,3,0.2,"SEKONDI-TAKORADI",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,33.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dc63fa3e1-1043-eabe-bea4-0ac7b71eb8aa?&start=2025-04-01&end=2025-04-05"")"
"GAGDDMG","412209163","CHN","CHN",NA,"fishing","med","fishing","inconclusive","GHA","TEMA",2025-05-07 12:20:41,4,2025-05-13 23:00:43,3,6.4,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,4.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b6190ac7f-f3fa-efec-1b86-122ae6e1ef38?&start=2025-05-05&end=2025-05-15"")"
"GAGDDMG","412209163","CHN","CHN",NA,"fishing","med","fishing","inconclusive","GHA","TEMA",2025-04-21 17:14:29,4,2025-04-27 17:14:01,4,6,"TEMA",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,4.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b6190ac7f-f3fa-efec-1b86-122ae6e1ef38?&start=2025-04-19&end=2025-04-29"")"
"GAGDDMG","412209163","CHN","CHN",NA,"fishing","med","fishing","inconclusive","GHA","TEMA",2025-04-14 17:59:16,4,2025-04-16 19:50:51,4,2,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,5.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b6190ac7f-f3fa-efec-1b86-122ae6e1ef38?&start=2025-04-12&end=2025-04-18"")"
"IONA","613003744","CMR","CMR","9183271","fishing","low","fishing","inconclusive","CHN","CHN-2214",2025-06-27 21:21:52,2,2025-06-28 01:33:07,2,0.2,"TEMA",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,20,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/02d59e029-9f6e-bb5a-7f12-dd474fec4103?&start=2025-06-25&end=2025-06-30"")"
"DICHA UNO","312697000","BLZ","BLZ","8029026","fishing","low","fishing","inconclusive","CIV","ABIDJAN",2025-04-29 15:20:09,4,2025-04-30 14:29:00,4,1,"TEMA",FALSE,FALSE,FALSE,FALSE,10,6.50833333333333,"GHA",FALSE,"ICCAT, NAMMCO, ACAP, IWC, FCWC",FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2025-04-27&end=2025-05-02"")"
"AVUNDA REEFER","352351000","PAN","PAN","9072824","carrier","low","other","other","CIV","ABIDJAN",2025-04-13 22:23:26,4,2025-04-15 20:16:24,4,1.9,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/665ebd33c-c956-3093-dee2-b41b11d83307?&start=2025-04-11&end=2025-04-17"")"
