vessel_name,MMSI,Flag,AIS_Flag,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,prev_visit_timestamp,at_dock,abj_lagoon,abj_vridi,abj_cargo,abj_fishing,abj_offshore,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,AISdisabling,num_AISdisabling,percent_ais_voyage,vv_url
BAO LUCKY,312756000,BLZ,BLZ,7809273,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,13/02/2025 13:36,4,30/04/2025 09:18,4,75.8,ABIDJAN,13/02/2025 13:36,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,TRUE,1,FALSE,0,0.1,https://globalfishingwatch.org/map/vessel/68ab5e789-96a1-fd61-016c-92bd413a9682?&start=2025-02-11&end=2025-05-02
BAO LUCKY,312756000,BLZ,BLZ,7809273,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,31/05/2025 03:04,4,31/05/2025 13:51,4,0.4,ABIDJAN,31/05/2025 03:04,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,18.2,https://globalfishingwatch.org/map/vessel/6efb0dce9-9de1-7806-333c-1e641f125b71?&start=2025-05-29&end=2025-06-02
PEARL,312797000,BLZ,BLZ,7360320,fishing,med,fishing,tuna_purse_seines,CIV,ABIDJAN,30/04/2025 19:00,4,30/05/2025 05:22,4,29.4,ABIDJAN,30/04/2025 19:00,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,25.34861111,CIV,NA,"ACAP, ICCAT, NAMMCO, FCWC, IWC",FALSE,0,FALSE,0,TRUE,1,6.5,https://globalfishingwatch.org/map/vessel/b5d3439b6-6d19-5385-9d6b-08a0dfd60fa7?&start=2025-04-28&end=2025-06-01
JC VICTORIA,312860000,BLZ,BLZ,7641580,fishing,med,fishing,tuna_purse_seines,CIV,ABIDJAN,29/04/2025 10:16,4,22/05/2025 12:29,4,23.1,ABIDJAN,29/04/2025 10:16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,7.4,https://globalfishingwatch.org/map/vessel/9e508de0a-aa7b-0fae-2a32-a0111c773dfe?&start=2025-04-27&end=2025-05-24
JC VICTORIA,312860000,BLZ,BLZ,7641580,fishing,med,fishing,tuna_purse_seines,CIV,ABIDJAN,27/05/2025 13:49,4,21/06/2025 09:25,4,24.8,ABIDJAN,27/05/2025 13:49,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,7,https://globalfishingwatch.org/map/vessel/9e508de0a-aa7b-0fae-2a32-a0111c773dfe?&start=2025-05-25&end=2025-06-23
ATLANTIC GLORY,312864000,BLZ,BLZ,8919403,fishing,high,fishing,tuna_purse_seines,GHA,TEMA,08/05/2025 12:43,4,31/05/2025 09:10,4,22.8,ABIDJAN,22/02/2025 11:40,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,10,https://globalfishingwatch.org/map/vessel/f2134364c-c3d5-8ee9-ddd4-5511c0500a50?&start=2025-05-06&end=2025-06-02
ATLANTIC PRINCE,312867000,BLZ,BLZ,8919415,fishing,high,fishing,tuna_purse_seines,GHA,TEMA,08/05/2025 17:47,4,15/06/2025 13:20,4,37.8,ABIDJAN,18/03/2025 02:08,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,748.3758333,NA,TRUE,"ICCAT, NAMMCO, IWC, ACAP",FALSE,0,TRUE,36,FALSE,0,98.2,https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2025-05-06&end=2025-06-17
ALBACORA CARIBE,353171000,PAN,PAN,8716825,fishing,high,fishing,tuna_purse_seines,SEN,DAKAR,03/05/2025 06:49,4,31/05/2025 06:18,4,28,ABIDJAN,21/03/2025 21:04,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,525.1019444,"LBR, SLE, GIN",TRUE,"NAMMCO, FCWC, SRFC, ACAP, IWC, ICCAT",FALSE,0,TRUE,24,TRUE,1,61.8,https://globalfishingwatch.org/map/vessel/ef9f4545a-a733-e7a5-4cb3-b9cc3cbf66c0?&start=2025-05-01&end=2025-06-02
SYDNEY SOFIA,356262000,PAN,PAN,9857030,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,05/06/2025 09:53,4,25/06/2025 06:32,4,19.8,ABIDJAN,05/06/2025 09:53,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,308.1663889,"LBR, CIV",TRUE,"ACAP, FCWC, ICCAT, NAMMCO, IWC",FALSE,0,TRUE,25,TRUE,4,83.5,https://globalfishingwatch.org/map/vessel/f2de78309-99b3-6b6a-2926-8af2b3051672?&start=2025-06-03&end=2025-06-27
SYDNEY SOFIA,356262000,PAN,PAN,9857030,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,30/04/2025 11:12,4,31/05/2025 10:51,4,31,ABIDJAN,30/04/2025 11:12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,556.5330556,LBR,TRUE,"NAMMCO, ICCAT, FCWC, IWC, ACAP",FALSE,0,TRUE,29,FALSE,0,91.7,https://globalfishingwatch.org/map/vessel/f2de78309-99b3-6b6a-2926-8af2b3051672?&start=2025-04-28&end=2025-06-02
MONTECELO,359102000,SLV,SLV,7409152,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,23/04/2025 13:18,4,20/05/2025 09:40,4,26.8,ABIDJAN,23/04/2025 13:18,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,5.3,https://globalfishingwatch.org/map/vessel/4bb1068b0-07b4-134f-87ed-a7ea92c038e9?&start=2025-04-21&end=2025-05-22
MONTECELO,359102000,SLV,SLV,7409152,fishing,high,fishing,tuna_purse_seines,SEN,DAKAR,15/03/2025 18:40,4,17/04/2025 10:03,4,32.6,ABIDJAN,25/02/2025 13:00,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,3.5,https://globalfishingwatch.org/map/vessel/4bb1068b0-07b4-134f-87ed-a7ea92c038e9?&start=2025-03-13&end=2025-04-19
MONTECELO,359102000,SLV,SLV,7409152,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,28/05/2025 13:45,4,28/06/2025 12:06,4,30.9,ABIDJAN,28/05/2025 13:45,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,28.19027778,CIV,NA,"ICCAT, ACAP, IWC, NAMMCO, FCWC",FALSE,0,FALSE,0,FALSE,0,2.6,https://globalfishingwatch.org/map/vessel/4bb1068b0-07b4-134f-87ed-a7ea92c038e9?&start=2025-05-26&end=2025-06-30
HLF7,412209590,CHN,CHN,NA,fishing,med,fishing,trawlers,CIV,ABIDJAN,02/03/2025 13:37,4,06/04/2025 16:58,4,35.1,ABIDJAN,02/03/2025 13:37,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,42.21944444,CIV,NA,"FCWC, NAMMCO, ICCAT, IWC, ACAP",FALSE,0,FALSE,0,FALSE,0,12.4,https://globalfishingwatch.org/map/vessel/fbed92149-9677-4209-36a6-b3850b14affc?&start=2025-02-28&end=2025-04-08
HLF7,412209590,CHN,CHN,NA,fishing,med,fishing,trawlers,CIV,ABIDJAN,09/04/2025 19:31,4,09/05/2025 05:44,4,29.4,ABIDJAN,09/04/2025 19:31,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,29.43611111,CIV,NA,"ACAP, IWC, FCWC, ICCAT, NAMMCO",FALSE,0,FALSE,0,FALSE,0,6.6,https://globalfishingwatch.org/map/vessel/fbed92149-9677-4209-36a6-b3850b14affc?&start=2025-04-07&end=2025-05-11
HLF7,412209590,CHN,CHN,NA,fishing,med,fishing,trawlers,CIV,ABIDJAN,14/06/2025 23:43,4,20/06/2025 05:51,4,5.3,ABIDJAN,14/06/2025 23:43,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,24.78611111,CIV,NA,"ICCAT, IWC, FCWC, NAMMCO, ACAP",FALSE,0,FALSE,0,FALSE,0,11.8,https://globalfishingwatch.org/map/vessel/fbed92149-9677-4209-36a6-b3850b14affc?&start=2025-06-12&end=2025-06-22
