"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","at_dock","percent_ais_voyage"
"IRIBAR ZULAIKA","224019630","ESP","fishing","fishing","SEN","DAKAR",2024-02-02 09:13:50,4,2024-02-05 09:21:48,3,3,"DAKAR",TRUE,226.6375,"SEN",FALSE,"ACAP, ICCAT, IWC, NAMMCO, SRFC",FALSE,NA,FALSE,NA,TRUE,100
"SHENG HAI 3 HAO","412723898","CHN","fishing","trawlers","GIN","CONAKRY",2024-01-06 15:26:02,4,2024-01-08 13:33:27,4,1.9,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,68.1
"KARAMA","654000012","MRT","fishing","trawlers","GMB","BANJUL",2024-01-13 13:15:30,4,2024-03-27 00:03:55,2,73.4,"DAKAR",TRUE,581.769444444444,"GMB",FALSE,"ACAP, ICCAT, SRFC, IWC, NAMMCO",FALSE,NA,FALSE,NA,NA,3.8
"MENGX27","412209178","CHN","seismic_vessel","seismic_vessel","GIN","CONAKRY",2024-01-16 20:43:30,3,2024-01-18 19:31:30,4,1.9,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,60.4
"YUAN YU 884","412549328","CHN","fishing","inconclusive","GNB","BISSAU",2024-01-04 17:05:45,4,2024-01-06 08:32:24,4,1.6,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"KALYONCU 1","629009176","GMB","fishing","fishing","GMB","BANJUL",2024-01-07 23:49:51,4,2024-01-08 14:18:16,4,0.6,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"KALYONCU 1","629009176","GMB","fishing","fishing","GMB","BANJUL",2024-02-25 15:30:08,4,2024-02-26 10:53:57,4,0.8,"DAKAR",TRUE,46.5208333333333,"SEN",FALSE,"ACAP, ICCAT, SRFC, IWC, NAMMCO",FALSE,NA,FALSE,NA,TRUE,100
"KALYONCU 1","629009176","GMB","fishing","fishing","SEN","DAKAR",2024-01-26 23:57:49,4,2024-01-27 02:13:55,4,0.1,"DAKAR",TRUE,35.6625,"SEN",FALSE,"ICCAT, SRFC, NAMMCO, ACAP, IWC",FALSE,NA,FALSE,NA,TRUE,100
"KALYONCU 1","629009176","GMB","fishing","fishing","SEN","ZIGUINCHOR",2024-03-15 11:26:40,4,2024-03-20 13:31:16,4,5.1,"DAKAR",TRUE,85.65,"SEN",FALSE,"IWC, SRFC, ICCAT, ACAP, NAMMCO",FALSE,NA,FALSE,NA,TRUE,55.3
"ALBACORA CARIBE","353171000","PAN","fishing","tuna_purse_seines","ESP","LAS PALMAS",2024-03-15 17:07:06,4,2024-03-18 15:30:05,4,2.9,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"SHENGHAI15","412549334","CHN","fishing","inconclusive","GIN","CONAKRY",2024-01-06 19:19:42,4,2024-01-08 15:17:35,4,1.8,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,97.8
"DIMITRIOS I","629009092","GMB","fishing","trawlers","GMB","BANJUL",2024-02-09 16:45:32,4,2024-02-17 23:48:41,4,8.3,"DAKAR",TRUE,1690.55,"GMB",FALSE,"ICCAT, NAMMCO, SRFC, ACAP, IWC",FALSE,NA,TRUE,2,TRUE,100
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR",2023-12-16 18:07:27,4,2024-01-08 07:56:23,4,22.5,"DAKAR",TRUE,4781.39722222222,"GMB",FALSE,"ICCAT, NAMMCO, ACAP, IWC, SRFC",FALSE,NA,TRUE,4,TRUE,100
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR",2024-03-12 01:20:47,4,2024-03-14 22:26:57,4,2.9,"DAKAR",TRUE,474.831944444444,"GMB, SEN",FALSE,"IWC, NAMMCO, ACAP, SRFC, ICCAT",FALSE,NA,TRUE,2,TRUE,100
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR",2024-03-07 21:58:58,4,2024-03-10 10:09:34,4,2.5,"DAKAR",TRUE,329.766666666667,"GMB",FALSE,"ACAP, SRFC, ICCAT, NAMMCO, IWC",FALSE,NA,TRUE,1,TRUE,100
