"vessel_name","MMSI","Flag2","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_end","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","at_dock","percent_ais_voyage","vessel.ID","trip.ID","Start.confidence","End.confidence"
"COSTA DE HUELVA","224854000","ESP","fishing","trawlers","SEN","DAKAR","05/10/2024 09:50","15/06/2024 06:24","35.8","DAKAR","TRUE","12335.52778","SEN, GNB","FALSE","IWC, SRFC, ICCAT, NAMMCO, ACAP","FALSE",NA,"TRUE","2","TRUE","99.7","1e31d7cd6-6c64-7b64-d9fd-71ea2e122789","224854000-1e31d7cd6-6c64-7b64-d9fd-71ea2e122789-018f61e961e0","4","4"
"CURBEIRO","224106000","ESP","fishing","trawlers","SEN","DAKAR","18/03/2024 00:57","14/04/2024 13:58","27.5","DAKAR","TRUE","15553.34306","GNB, SEN","FALSE","IWC, ICCAT, NAMMCO, ACAP, SRFC","FALSE",NA,"FALSE",NA,"TRUE","96.9","abfdf22f1-145b-2a91-3e6b-7acb899cd1d7","224106000-abfdf22f1-145b-2a91-3e6b-7acb899cd1d7-018e4f1034f0","4","4"
"CURBEIRO","224106000","ESP","fishing","trawlers","SEN","DAKAR","17/04/2024 05:12","15/05/2024 13:50","28.3","DAKAR","TRUE","13982.61667","SEN, GNB","FALSE","NAMMCO, ACAP, ICCAT, IWC, SRFC","FALSE",NA,"FALSE",NA,"TRUE","93.5","abfdf22f1-145b-2a91-3e6b-7acb899cd1d7","224106000-abfdf22f1-145b-2a91-3e6b-7acb899cd1d7-018eea784798","4","4"
"CURBEIRO","224106000","ESP","fishing","trawlers","SEN","DAKAR","18/05/2024 09:14","13/06/2024 14:39","26.2","DAKAR","TRUE","4781.726389","SEN, GNB","FALSE","NAMMCO, ACAP, SRFC, ICCAT, IWC","FALSE",NA,"TRUE","3","TRUE","85.6","abfdf22f1-145b-2a91-3e6b-7acb899cd1d7","224106000-abfdf22f1-145b-2a91-3e6b-7acb899cd1d7-018f8afb0de0","4","4"
"CURBEIRO","224106000","ESP","fishing","trawlers","GMB","BANJUL","19/06/2024 22:35","26/06/2024 07:57","6.4","DAKAR","TRUE","1353.319444","GMB","FALSE","SRFC, ICCAT, NAMMCO, IWC, ACAP","FALSE",NA,"FALSE",NA,"TRUE","100","abfdf22f1-145b-2a91-3e6b-7acb899cd1d7","224106000-abfdf22f1-145b-2a91-3e6b-7acb899cd1d7-019032a3d4a0","4","4"
"CHANG YUAN YU 2","412200985","CHN","fishing","trawlers","SEN","DAKAR","04/02/2024 20:09","19/04/2024 07:00","16.4","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,"TRUE","1.5","9b0efc5e2-272a-58be-3126-959515ea3a09","412200985-9b0efc5e2-272a-58be-3126-959515ea3a09-018ea06e54a8","3","3"
"CHANG YUAN YU 2","412200985","CHN","fishing","trawlers","SEN","DAKAR","21/04/2024 20:59","05/08/2024 13:32","16.7","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,"TRUE","0.5","9b0efc5e2-272a-58be-3126-959515ea3a09","412200985-9b0efc5e2-272a-58be-3126-959515ea3a09-018f0274ff08","3","4"
"CHANG YUAN YU 2","412200985","CHN","fishing","trawlers","SEN","DAKAR","05/12/2024 11:16","06/06/2024 19:48","25.3","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,"TRUE","0.3","9b0efc5e2-272a-58be-3126-959515ea3a09","412200985-9b0efc5e2-272a-58be-3126-959515ea3a09-018f6c84f560","4","3"
"CHANG YUAN YU 2","412200985","CHN","fishing","trawlers","SEN","DAKAR","06/07/2024 00:37","29/06/2024 13:52","22.5","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,"TRUE","0.6","9b0efc5e2-272a-58be-3126-959515ea3a09","412200985-9b0efc5e2-272a-58be-3126-959515ea3a09-018ff020d678","3","3"
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR","22/03/2024 16:04","18/04/2024 06:29","26.6","DAKAR","TRUE","4682.477778","SEN, GMB","FALSE","IWC, SRFC, NAMMCO, ACAP, ICCAT","FALSE",NA,"TRUE","2","TRUE","99.8","f581b4c7a-a4e9-81b0-dd1f-add5a6830a79","629009092-f581b4c7a-a4e9-81b0-dd1f-add5a6830a79-018e66e7b120","4","4"
