"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"F/V STERENN","226180000","FRA","fishing","tuna_purse_seines","STP","SAO TOME",2024-08-06 09:15:09,4,2024-09-03 16:04:08,4,28.3,"ABIDJAN",NA,TRUE,30.3311111111111,"STP, CIV",FALSE,"COREP, FCWC, IWC, ACAP, NAMMCO, ICCAT",TRUE,1,TRUE,3,9.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ec049fc02-2932-810d-f9b3-293e4eec0799?&start=2024-08-04&end=2024-09-05"")"
"EGALABUR","312078000","BLZ","cargo","cargo","CIV","ABIDJAN",2024-06-15 23:50:10,4,2024-07-04 05:43:24,4,18.2,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,TRUE,2,TRUE,16,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2024-06-13&end=2024-07-06"")"
"ARTIKE","306881000","CUW","fishing","inconclusive","STP","SAO TOME",2024-07-10 10:50:41,4,2024-09-16 08:00:30,4,67.9,"ABIDJAN",NA,TRUE,75.9619444444444,"CIV",TRUE,"IWC, NAMMCO, ICCAT, ACAP, FCWC",FALSE,NA,TRUE,2,3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e00d865a1-148f-fb0e-8283-dc436a245c07?&start=2024-07-08&end=2024-09-18"")"
"F/V ALBACORA QUINCE","224727000","ESP","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-07-13 17:28:32,4,2024-07-24 09:35:37,4,10.7,"ABIDJAN",NA,TRUE,3.7875,"CIV",FALSE,"FCWC, NAMMCO, IWC, ACAP, ICCAT",FALSE,NA,FALSE,NA,6.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2024-07-11&end=2024-07-26"")"
"SYDNEY SOFIA","356262000","PAN","fishing","inconclusive","CIV","ABIDJAN",2024-06-23 09:13:01,4,2024-07-18 10:26:17,4,25,"ABIDJAN",NA,TRUE,728.854166666667,"GIN, LBR, SLE",FALSE,"FCWC, IWC, SRFC, NAMMCO, ICCAT, ACAP",TRUE,2,TRUE,48,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f2de78309-99b3-6b6a-2926-8af2b3051672?&start=2024-06-21&end=2024-07-20"")"
"MONTEFRISA NUEVE","359101000","SLV","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-07-29 08:07:09,4,2024-08-30 21:30:03,4,32.5,"ABIDJAN",NA,TRUE,36.6527777777778,"CIV",FALSE,"ICCAT, NAMMCO, FCWC, IWC, ACAP",TRUE,2,TRUE,2,2.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a812d4320-0608-5ad0-1929-d5206eda123a?&start=2024-07-27&end=2024-09-01"")"
"SYDNEY SOFIA","356262000","PAN","fishing","inconclusive","CIV","ABIDJAN",2024-09-05 09:22:19,4,2024-09-20 14:07:24,4,15.2,"ABIDJAN",NA,TRUE,206.151944444444,"LBR",TRUE,"ACAP, ICCAT, NAMMCO, FCWC, IWC",FALSE,NA,TRUE,9,68.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f2de78309-99b3-6b6a-2926-8af2b3051672?&start=2024-09-03&end=2024-09-22"")"
"MONTERAIOLA","224742000","ESP","fishing","tuna_purse_seines","STP","SAO TOME",2024-06-12 21:15:38,4,2024-07-12 17:55:51,4,29.8,"ABIDJAN",NA,TRUE,44.7083333333333,"CIV",FALSE,"ICCAT, FCWC, NAMMCO, IWC, ACAP",TRUE,2,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c44bf0cee-e97e-f9c4-3c32-97d90554b144?&start=2024-06-10&end=2024-07-14"")"
"F/V STERENN","226180000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-07-11 19:10:16,4,2024-07-24 09:14:38,4,12.6,"ABIDJAN",NA,TRUE,41.1333333333333,"GAB",FALSE,"IWC, ICCAT, COREP, ACAP",FALSE,NA,TRUE,2,50.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ec049fc02-2932-810d-f9b3-293e4eec0799?&start=2024-07-09&end=2024-07-26"")"
"AFRICA STAR 1","312552000","BLZ","cargo","cargo","CIV","ABIDJAN",2024-07-19 11:23:58,4,2024-07-21 01:30:16,4,1.6,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,TRUE,2,TRUE,2,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fa7639ee3-3dac-35d9-e6d4-171d0b8733eb?&start=2024-07-17&end=2024-07-23"")"
"F/V GUERIDEN","227550000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-08-05 17:44:25,4,2024-08-27 15:17:47,4,21.9,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,1,7.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1fe43f651-11a3-402d-dfed-efde848e7eee?&start=2024-08-03&end=2024-08-29"")"
"F/V GUEOTEC","227549000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-05-24 09:35:13,4,2024-07-13 06:42:41,4,49.9,"ABIDJAN",NA,TRUE,591.586388888889,"GAB, CIV, STP",FALSE,"NAMMCO, IWC, ICCAT, ACAP, FCWC, COREP",TRUE,2,TRUE,30,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/96e442d84-489f-962f-588a-33e367aa0330?&start=2024-05-22&end=2024-07-15"")"
"JC GLORIA","312155000","BLZ","cargo","cargo","CIV","ABIDJAN",2024-06-15 08:38:57,4,2024-07-10 08:07:49,4,25,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2024-06-13&end=2024-07-12"")"
"DICHA UNO","312697000","BLZ","cargo","cargo","CIV","ABIDJAN",2024-07-06 09:25:03,4,2024-08-10 13:55:21,4,35.2,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,6.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2024-07-04&end=2024-08-12"")"
"ZUBEROA","224587000","ESP","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-06-26 07:59:38,4,2024-08-04 18:58:08,4,39.4,"ABIDJAN",NA,TRUE,460.026944444445,"CIV, GAB",TRUE,"ICCAT, FCWC, NAMMCO, IWC, ACAP, COREP",TRUE,1,TRUE,33,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dcefb03af-f441-973d-84c3-df67066f5a56?&start=2024-06-24&end=2024-08-06"")"
