vessel_name,MMSI,Flag,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,vessel_id,trip_id,at_dock,percent_ais_voyage
EGALUZE,224580000,ESP,fishing,tuna_purse_seines,SEN,DAKAR,17/04/2024 08:58,4,15/05/2024 11:48,4,28.1,DAKAR,TRUE,947.7736111,"GIN, GNB, SEN",FALSE,"IWC, SRFC, NAMMCO, ICCAT, ACAP",FALSE,NA,TRUE,10,a0aa90604-4562-1097-2a1e-56ca4a57e84f,224580000-a0aa90604-4562-1097-2a1e-56ca4a57e84f-018eeb473ff8,TRUE,25.1
CURBEIRO,224106000,ESP,fishing,trawlers,SEN,DAKAR,17/04/2024 05:12,4,15/05/2024 13:50,4,28.3,DAKAR,TRUE,13982.61667,"SEN, GNB",FALSE,"NAMMCO, ACAP, ICCAT, IWC, SRFC",FALSE,NA,FALSE,NA,abfdf22f1-145b-2a91-3e6b-7acb899cd1d7,224106000-abfdf22f1-145b-2a91-3e6b-7acb899cd1d7-018eea784798,TRUE,93.5
SAINT FORKUJAH,613003904,CMR,other,other,MLT,VALLETTA,03/05/2024 14:33,3,15/05/2024 19:51,4,12.2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,4a9efa494-4a98-cd8e-b55a-5e8f8114b959,613003904-4a9efa494-4a98-cd8e-b55a-5e8f8114b959-018f3edfc720,TRUE,9.2
YIFENG28,412209126,CHN,fishing,trawlers,GNB,BISSAU,07/05/2024 18:09,4,15/05/2024 22:14,4,8.2,DAKAR,TRUE,1465.309722,"SEN, GNB",FALSE,"IWC, NAMMCO, SRFC, ACAP, ICCAT",FALSE,NA,TRUE,4,e37cb040b-bbe1-3f3c-c4fc-69d978402d3f,412209126-e37cb040b-bbe1-3f3c-c4fc-69d978402d3f-018f543f4e10,TRUE,80.2
YANGMING8001,412209195,CHN,fishing,trawlers,SEN,DAKAR,02/08/2023 19:12,3,16/05/2024 03:46,4,287.3,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,5850431f5-5a2f-346e-e31c-ce77a7a5c2ad,412209195-5850431f5-5a2f-346e-e31c-ce77a7a5c2ad-0189b7aa1788,TRUE,0.1
WESTERO,266011000,SWE,fishing,trawlers,SEN,DAKAR,10/05/2024 00:31,4,16/05/2024 07:06,4,6.3,DAKAR,TRUE,1292.188889,GMB,FALSE,"NAMMCO, SRFC, ICCAT, IWC, ACAP",FALSE,NA,FALSE,NA,c65c0e5a3-38e1-fce8-013c-b5ae997aa5b2,266011000-c65c0e5a3-38e1-fce8-013c-b5ae997aa5b2-018f5fe92510,TRUE,100
CHAMYUAMYU11,412200988,CHN,fishing,trawlers,MEX,MEX-175,09/05/2024 05:32,2,16/05/2024 10:42,2,7.2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,f5b96f9c3-3dea-a442-a8f1-d9330bb93f69,412200988-f5b96f9c3-3dea-a442-a8f1-d9330bb93f69-018f5bd67360,TRUE,2.3
ALBONIGA,224745000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,21/04/2024 22:11,4,16/05/2024 13:25,4,24.6,DAKAR,TRUE,1138.055556,"GIN, GNB",FALSE,"NAMMCO, ICCAT, IWC, ACAP, SRFC",FALSE,NA,TRUE,12,818356b57-7844-a4ae-919e-36a06ae5a84a,224745000-818356b57-7844-a4ae-919e-36a06ae5a84a-018f02b6edf0,TRUE,59.6
LUQINGYUANYU 026,412331031,CHN,fishing,drifting_longlines,SEN,DAKAR,13/11/2023 08:21,4,16/05/2024 14:49,4,185.3,DAKAR,TRUE,3199.808333,NA,TRUE,"ACAP, IWC, ICCAT",FALSE,NA,TRUE,55,9a9b72c4f-f07e-a0c8-9381-3bf9e2c04cdb,412331031-9a9b72c4f-f07e-a0c8-9381-3bf9e2c04cdb-018bc7c530d8,TRUE,51.1
JAIME R,224069140,ESP,fishing,trawlers,SEN,DAKAR,23/04/2024 23:54,4,16/05/2024 17:17,4,22.7,DAKAR,TRUE,3727.058333,"GNB, SEN",FALSE,"ICCAT, NAMMCO, ACAP, SRFC, IWC",FALSE,NA,TRUE,35,c55db3f88-825c-7b5e-ea2b-90578f54ef3f,224069140-c55db3f88-825c-7b5e-ea2b-90578f54ef3f-018f0d622170,TRUE,77
LA PINTA R,224175000,ESP,fishing,trawlers,SEN,DAKAR,12/05/2024 16:38,4,16/05/2024 17:18,4,4,DAKAR,TRUE,920.5833333,"SEN, GNB",FALSE,"NAMMCO, SRFC, ICCAT, ACAP, IWC",FALSE,NA,TRUE,2,c17075854-49bb-6c86-ad25-6b9f2d6f6ddd,224175000-c17075854-49bb-6c86-ad25-6b9f2d6f6ddd-018f6daba6c8,TRUE,98
GUOJIN901,412549196,CHN,fishing,trawlers,SEN,DAKAR,09/05/2024 21:57,4,16/05/2024 23:48,4,7,DAKAR,TRUE,150.8458333,SEN,FALSE,"ICCAT, NAMMCO, IWC, SRFC, ACAP",FALSE,NA,TRUE,6,e1978b237-794c-1a7d-171c-6c11f629c154,412549196-e1978b237-794c-1a7d-171c-6c11f629c154-018f5f5c65d0,TRUE,31.6
FU YUAN YU 7852,412440814,CHN,fishing,drifting_longlines,SEN,DAKAR,03/06/2023 18:25,4,17/05/2024 08:00,4,348.5,DAKAR,TRUE,17722.91361,"SEN, MRT",TRUE,"NAMMCO, ACAP, IWC, SRFC, ICCAT",FALSE,NA,TRUE,30,a813b29d4-4f66-a145-ab5e-84e72e8dade4,412440814-a813b29d4-4f66-a145-ab5e-84e72e8dade4-0188828183d0,TRUE,89.5
YANGMIN8002,412209196,CHN,fishing,trawlers,SEN,DAKAR,01/05/2024 16:50,3,17/05/2024 18:01,4,16,DAKAR,TRUE,5018.043056,"SEN, GNB",FALSE,"SRFC, IWC, ICCAT, ACAP, NAMMCO",FALSE,NA,TRUE,1,f23a6145b-bb7f-8e7e-5c7e-61a9e335f577,412209196-f23a6145b-bb7f-8e7e-5c7e-61a9e335f577-018f35107c80,TRUE,87.1
ALFONSO RIERA CUARTO,224026860,ESP,fishing,trawlers,GIN,CONAKRY,09/04/2024 14:36,4,17/05/2024 19:02,4,38.2,DAKAR,TRUE,6479.241667,"GIN, GNB",TRUE,"SRFC, NAMMCO, IWC, ICCAT, ACAP",FALSE,NA,FALSE,NA,a054330ca-a2bd-7d39-14d8-3f381abda295,224026860-a054330ca-a2bd-7d39-14d8-3f381abda295-018ec349b378,TRUE,100
ALFONSO RIERA SEGUND,224032270,ESP,fishing,trawlers,GIN,CONAKRY,09/04/2024 14:29,4,17/05/2024 19:14,4,38.2,DAKAR,TRUE,4474.088889,"GNB, GIN",TRUE,"ACAP, ICCAT, SRFC, NAMMCO, IWC",FALSE,NA,TRUE,1,ebdafaa65-595c-2373-4337-eaf2cebdadae,224032270-ebdafaa65-595c-2373-4337-eaf2cebdadae-018ec343cbc0,TRUE,100
YANGMING8032,412209009,CHN,fishing,trawlers,SEN,DAKAR,09/05/2024 15:23,4,18/05/2024 17:28,4,9.1,DAKAR,TRUE,2106.488889,"SEN, GNB",FALSE,"SRFC, ICCAT, NAMMCO, ACAP, IWC",FALSE,NA,TRUE,7,fff3fc565-577b-cea2-43c6-9e6c215281f7,412209009-fff3fc565-577b-cea2-43c6-9e6c215281f7-018f5df42ef8,TRUE,81.7
GARBOLA,225461000,ESP,support,purse_seine_support,CIV,ABIDJAN,30/03/2024 11:09,3,20/05/2024 05:22,4,50.8,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,cf930809d-da1e-0f57-d725-bee6826624ab,225461000-cf930809d-da1e-0f57-d725-bee6826624ab-018e8f0d43b8,TRUE,1.8
ATOUMAY,654007400,MRT,fishing,trawlers,MRT,CANSADO,19/05/2024 07:40,4,21/05/2024 00:23,4,1.7,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,7ee65946a-a57f-6f16-e049-e3fe16f66782,654007400-7ee65946a-a57f-6f16-e049-e3fe16f66782-018f8fcb8980,TRUE,100
MONTECELO,359102000,SLV,fishing,tuna_purse_seines,CIV,ABIDJAN,24/04/2024 08:11,4,21/05/2024 17:48,4,27.4,DAKAR,TRUE,871.8230556,"GIN, GNB, LBR",TRUE,"ICCAT, ACAP, FCWC, SRFC, NAMMCO, IWC",FALSE,NA,TRUE,11,4bb1068b0-07b4-134f-87ed-a7ea92c038e9,359102000-4bb1068b0-07b4-134f-87ed-a7ea92c038e9-018f0f289160,TRUE,36.3
TIANG EI HU,412209083,CHN,fishing,fishing,SEN,DAKAR,22/04/2024 20:07,3,21/05/2024 20:36,4,29,DAKAR,TRUE,1710.095833,"SEN, GNB",FALSE,"ACAP, ICCAT, SRFC, NAMMCO, IWC",FALSE,NA,TRUE,21,364511e7e-ec82-68e9-2702-2ec05725207d,412209083-364511e7e-ec82-68e9-2702-2ec05725207d-018f076bb7b8,TRUE,30
