"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","vv_url"
"FU YUAN YU NO.7858","412440796","CHN","fishing","drifting_longlines","SEN","DAKAR",2024-06-16 15:27:17,4,2024-08-26 11:51:15,3,70.8,"DAKAR",TRUE,1882.77555555556,NA,TRUE,"ACAP, ICCAT, IWC, NAMMCO",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2b3348d71-138e-ea60-d691-2e3e560e68d5?&start=2024-09-01&end=2024-10-31"")"
"NECATI REIS 2","271056023","TUR","fishing","other_purse_seines","MRT","CANSADO",2024-08-06 12:23:35,4,2024-08-08 00:05:16,4,1.5,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/624743542-20c9-cab9-9731-fef3b929b023?&start=2024-09-01&end=2024-10-31"")"
"JINFENG4","412549566","CHN","fishing","drifting_longlines","MYS","TANJUNG PELEPAS",2023-10-31 10:08:07,4,2024-07-07 06:33:57,4,249.8,"DAKAR",TRUE,10960.4494444444,"GMB",TRUE,"SIOFA, CCSBT, ACAP, NAMMCO, CCSBT-Primary-Area, ICCAT, IOTC, IWC",TRUE,2,TRUE,35,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff58c1125-58ef-aab1-955b-8e0df264ce62?&start=2024-09-01&end=2024-10-31"")"
"FU YUAN YU 7852","412440814","CHN","fishing","drifting_longlines","SEN","DAKAR",2024-05-21 11:47:43,4,2024-08-24 09:44:20,3,94.9,"DAKAR",TRUE,5805.59388888889,"MRT",TRUE,"IWC, ACAP, ICCAT, NAMMCO, SRFC",FALSE,NA,TRUE,10,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a813b29d4-4f66-a145-ab5e-84e72e8dade4?&start=2024-09-01&end=2024-10-31"")"
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR",2024-08-18 04:17:33,4,2024-09-18 04:22:52,4,31,"DAKAR",TRUE,7345.39305555555,"GMB, SEN",FALSE,"SRFC, IWC, ICCAT, NAMMCO, ACAP",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f581b4c7a-a4e9-81b0-dd1f-add5a6830a79?&start=2024-09-01&end=2024-10-31"")"
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR",2024-06-26 03:46:20,4,2024-07-27 06:48:20,4,31.1,"DAKAR",TRUE,7185.44444444444,"GMB",FALSE,"IWC, NAMMCO, ICCAT, ACAP, SRFC",FALSE,NA,TRUE,6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f581b4c7a-a4e9-81b0-dd1f-add5a6830a79?&start=2024-09-01&end=2024-10-31"")"
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR",2024-07-28 14:27:10,4,2024-08-07 04:47:57,4,9.6,"DAKAR",TRUE,2077.12777777778,"GMB",FALSE,"ICCAT, IWC, NAMMCO, SRFC, ACAP",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f581b4c7a-a4e9-81b0-dd1f-add5a6830a79?&start=2024-09-01&end=2024-10-31"")"
"YIFENG21","412209011","CHN","fishing","fishing","SEN","DAKAR",2024-08-30 18:23:38,4,2024-09-27 05:15:03,4,27.4,"DAKAR",TRUE,71.9722222222222,"GNB",FALSE,"NAMMCO, IWC, SRFC, ACAP, ICCAT",FALSE,NA,TRUE,16,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2024-09-01&end=2024-10-31"")"
"YIFENG21","412209011","CHN","fishing","fishing","SEN","DAKAR",2024-06-10 17:58:25,4,2024-07-06 02:49:01,4,25.3,"DAKAR",TRUE,135.083333333333,"GNB",FALSE,"SRFC, NAMMCO, ICCAT, IWC, ACAP",FALSE,NA,TRUE,16,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2024-09-01&end=2024-10-31"")"
"YIFENG21","412209011","CHN","fishing","fishing","SEN","DAKAR",2024-07-08 14:03:13,4,2024-07-31 03:00:04,4,22.5,"DAKAR",TRUE,144.536111111111,"GNB",FALSE,"ICCAT, NAMMCO, ACAP, IWC, SRFC",FALSE,NA,TRUE,22,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2024-09-01&end=2024-10-31"")"
