"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","abj_lagoon","abj_vridi","abj_cargo","abj_fishing","abj_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","BEL","ANTWERP",2025-03-22 15:45:42,4,2025-04-02 23:23:46,4,11.3,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-03-20&end=2025-04-04"")"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","GHA","TEMA",2025-05-14 05:57:00,4,2025-05-15 05:35:28,4,1,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-05-12&end=2025-05-17"")"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","GHA","TEMA",2025-04-11 05:29:11,4,2025-04-11 20:59:18,4,0.6,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-04-09&end=2025-04-13"")"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","BEL","ANTWERP",2025-04-26 11:02:19,4,2025-05-06 23:30:41,4,10.5,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-04-24&end=2025-05-08"")"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","BEL","ANTWERP",2025-05-30 15:04:12,4,2025-06-09 19:11:59,4,10.2,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-05-28&end=2025-06-11"")"
"COLOMBIAN STAR","636014240","LBR","LBR","9172480","carrier","low","carrier","carrier","GHA","TEMA",2025-05-28 11:04:17,4,2025-05-29 03:43:00,4,0.7,"PORT BOUET ANCHORAGE",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-05-26&end=2025-05-31"")"
"COLOMBIAN STAR","636014240","LBR","LBR","9172480","carrier","low","carrier","carrier","BEL","ANTWERP",2025-04-04 22:12:28,4,2025-04-16 16:25:41,4,11.8,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-04-02&end=2025-04-18"")"
"COLOMBIAN STAR","636014240","LBR","LBR","9172480","carrier","low","carrier","carrier","BEL","ANTWERP",2025-05-10 07:50:08,4,2025-05-19 22:55:16,4,9.6,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-05-08&end=2025-05-21"")"
"COLOMBIAN STAR","636014240","LBR","LBR","9172480","carrier","low","carrier","carrier","GHA","TEMA",2025-04-24 04:04:14,4,2025-04-25 14:45:05,4,1.4,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-04-22&end=2025-04-27"")"
"COLOMBIAN STAR","636014240","LBR","LBR","9172480","carrier","low","carrier","carrier","BEL","ANTWERP",2025-06-13 17:57:22,4,2025-06-23 06:58:51,4,9.5,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-06-11&end=2025-06-25"")"
