trip_id,event_id,event_type,year,vessel_id,ssvid,shipname,vessel_flag_best,callsign,imo,vessel_class_best,geartype_best,vessel_class_initial,class_confidence,trip_start,start_port_iso3,start_port_label,trip_end,end_port_iso3,end_port_label,port_anchorage_id,total_voyage_days,total_voyage_h,total_ais_h,percent_ais_voyage,event_start,event_end,event_duration_d,lat_mean,lon_mean,lat_end,lon_end,distance_km,speed_knots,eez,major_fao,high_seas,rfmo,start_distance_from_shore_km,end_distance_from_shore_km,start_distance_from_port_km,end_distance_from_port_km,positions_12_hours_before,encountered_ssvid,encountered_vessel_id,encountered_shipname,encountered_callsign,encountered_imo,encountered_flag,encountered_vessel_class,encountered_geartype,port_event_type,port_event_timestamp,port_event_lat,port_event_lon,port_label,sublabel,port_event_anchorage_id,port_distance_from_shore_m,at_dock,port_confidence,possible_spoofing
7jrrQ4WE18,371469192ebdd0638228569a8980417d,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,17/06/2023 09:49,18/06/2023 01:01,0.6,NA,NA,7.98,120.11,58.3,2.1,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",124,164,195.2,235.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,69737633fa22ebdc175a90e453268dde,Fishing,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,18/06/2023 01:01,18/06/2023 09:03,0.3,7.9,120.05,NA,NA,39.3,3.4,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",172,161,236.4,230.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,5fe5a95501936dbb0d29c597ed673bc0,Loitering,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,18/06/2023 01:52,18/06/2023 04:17,0.1,7.97,120.14,NA,NA,4.4,1,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",164,162,233.9,230.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,67b6d3149f7184ef194c8360aa060ec7,Loitering,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,18/06/2023 09:03,19/06/2023 05:53,0.9,7.91,119.88,NA,NA,22.1,0.6,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",176,176,233.5,215.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,7170b945bbeff255dc93e57e535a4bdc,Fishing,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,18/06/2023 13:47,18/06/2023 15:37,0.1,7.91,119.89,NA,NA,3.5,1.3,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",178,179,224.9,224.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,fbd87027e37407a110de3b3295ad9cf2,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,18/06/2023 15:37,19/06/2023 05:16,0.6,NA,NA,7.97,119.82,8.8,0.3,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",178,176,223.5,214.9,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,029d6ad9d637aa7e45b716534370b0e9,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,19/06/2023 06:09,21/06/2023 03:46,1.9,NA,NA,7.16,120.23,101.8,1.2,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",176,93,214,193.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,c8a1e36ee76f10db12139dd22e0d89af,Fishing,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,21/06/2023 03:46,21/06/2023 05:23,0.1,7.11,120.29,NA,NA,16.7,5.2,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",82,89,185.7,181.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,b348f76ead7bb52697c8007031e7dfd6,Loitering,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,21/06/2023 05:23,21/06/2023 11:54,0.3,7.07,120.33,NA,NA,13,1.1,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",77,81,180.3,181.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,24f02865822e7048d909ed07ee261ab8,Fishing,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,21/06/2023 11:00,21/06/2023 13:21,0.1,7.08,120.32,NA,NA,16.4,3.3,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",75,80,181.3,174.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
