"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-10-13 18:24:16,4,2024-10-16 10:29:03,4,2.7,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,92.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-10-11&end=2024-10-18"")"
"SEGERO","441913000","KOR","other","other","KOR","KOR-165",2024-10-15 04:32:01,4,2024-10-19 01:05:07,4,3.8,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/19c699bf8-81d6-93cd-8e3e-828b96827061?&start=2024-10-13&end=2024-10-21"")"
"STANDARD ENDEAVOUR","312033000","BLZ","fishing","pots_and_traps","PHL","MANILA",2024-10-02 13:11:19,4,2024-10-07 21:24:00,4,5.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,1,27.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fed244af9-9553-f635-e6df-58ba139654fb?&start=2024-09-30&end=2024-10-09"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-12-28 12:35:01,4,2024-12-30 03:01:15,4,1.6,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-12-26&end=2025-01-01"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-12-22 18:16:43,4,2024-12-24 15:13:17,4,1.8,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,95.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-12-20&end=2024-12-26"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-11-05 13:13:36,4,2024-11-06 20:25:11,4,1.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-11-03&end=2024-11-08"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-11-23 11:39:38,4,2024-12-01 07:02:58,4,7.8,"MANILA",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,FALSE,NA,95.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-11-21&end=2024-12-03"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-10-09 05:33:38,4,2024-10-11 13:00:06,4,2.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,93,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-10-07&end=2024-10-13"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-12-16 18:24:59,4,2024-12-18 00:29:23,4,1.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,96.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-12-14&end=2024-12-20"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-10-07 16:36:51,4,2024-10-10 05:01:37,4,2.5,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,98.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-10-05&end=2024-10-12"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-11-05 20:23:12,4,2024-11-06 23:07:33,4,1.1,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-11-03&end=2024-11-08"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-11-12 07:38:54,4,2024-11-14 16:46:17,4,2.4,"MANILA",NA,FALSE,NA,NA,FALSE,NA,TRUE,2,FALSE,NA,86.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-11-10&end=2024-11-16"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-10-03 21:00:07,4,2024-10-06 06:51:59,4,2.4,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,98.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-10-01&end=2024-10-08"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-10-05 14:34:07,4,2024-10-07 22:47:01,4,2.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-10-03&end=2024-10-09"")"
"KUNIMATSU 3","352001260","PAN","fishing","inconclusive","PHL","MANILA",2024-12-09 01:26:26,4,2024-12-09 06:35:25,4,0.2,"MANILA",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a664c8494-4084-b31e-2b0d-d02c7dd960f7?&start=2024-12-07&end=2024-12-11"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-12-18 18:28:32,4,2024-12-20 11:19:27,4,1.7,"MANILA",NA,TRUE,4.12777777777778,"PHL",FALSE,"APFIC, SEAFDEC, WCPFC, ACAP, IWC",FALSE,NA,FALSE,NA,97.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-12-16&end=2024-12-22"")"
