Remove or check,Incorrect name,Incorrect / missing flag,Incorrect / missing vessel type,Incorrect / missing gear,Confidence check,Check trip start ,Check missing visits,Check previous iteration,vessel_name,MMSI,Flag,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_end,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage,FACT name,FACT flag,FACT gear type,Flag check,FACT vessel type / not PP,FACT gear / not PP,Notes
,,,,,,Yes,No,Yes,ALFONSO RIERA CUARTO,224026860,ESP,fishing,trawlers,SEN,DAKAR,12/02/2023 20:47,01/01/2024 12:59,29.7,DAKAR,TRUE,9702.394444,"SEN, GNB",FALSE,"SRFC, IWC, NAMMCO, ICCAT, ACAP",FALSE,NA,FALSE,NA,TRUE,100,ALFONSO RIERA 4,ESP,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,LIAO YUAN YU 99,413201110,CHN,fishing,drifting_longlines,SEN,DAKAR,10/15/23 9:08,01/01/2024 14:50,78.2,DAKAR,TRUE,116.345,NA,TRUE,"ACAP, ICCAT, IWC",FALSE,NA,TRUE,34,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,LUQINGYUANYU051,412331128,CHN,fishing,fishing,SEN,DAKAR,06/11/2023 13:03,01/01/2024 15:51,204.1,DAKAR,TRUE,1915.972222,GNB,FALSE,"ICCAT, IWC, ACAP, NAMMCO, SRFC",FALSE,NA,TRUE,11,TRUE,31.3,KIRSA 050,RUS,Trawler,FALSE,#N/A,#N/A,Flag and name outdated in FACT
,,,,,,Yes,No,Yes,COSTA DE  HUELVA,224854000,ESP,fishing,trawlers,SEN,DAKAR,11/15/23 18:35,01/01/2024 17:34,46.9,DAKAR,TRUE,12011.41111,"GNB, SEN",FALSE,"ICCAT, NAMMCO, IWC, ACAP, SRFC",FALSE,NA,FALSE,NA,TRUE,100,COSTA DE HUELVA,ESP,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,SALVATORE PRIMO,247110330,ITA,fishing,trawlers,SEN,DAKAR,11/11/2023 19:23,01/02/2024 07:18,51.5,DAKAR,TRUE,15583.61806,"SEN, GNB",FALSE,"NAMMCO, SRFC, ICCAT, ACAP, IWC",FALSE,NA,TRUE,47,TRUE,100,SALVATORE PRIMO,ITA,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,NP MYRA Q,247118500,ITA,fishing,trawlers,SEN,DAKAR,11/29/23 18:05,01/02/2024 08:25,33.6,DAKAR,TRUE,8457.55,"GNB, SEN",FALSE,"ICCAT, NAMMCO, ACAP, SRFC, IWC",FALSE,NA,TRUE,20,TRUE,100,MYRA Q,ITA,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,CHAMYUAMYU11,412200988,CHN,fishing,trawlers,SEN,DAKAR,12/15/23 1:54,01/02/2024 14:20,18.5,DAKAR,TRUE,11.85833333,SEN,FALSE,"ICCAT, SRFC, NAMMCO, IWC, ACAP",FALSE,NA,TRUE,6,TRUE,20.5,CHANGYUANYU 11,CHN,UNKNOWN,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,NO.805 ORYONG,440154000,KOR,fishing,drifting_longlines,CPV,MINDELO,11/02/2023 19:35,01/03/2024 13:49,61.8,DAKAR,TRUE,3961.25,NA,TRUE,"IWC, ICCAT, NAMMCO, ACAP",FALSE,NA,TRUE,44,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,NO.373 ORYONG,441242000,KOR,fishing,drifting_longlines,CPV,MINDELO,11/17/23 16:46,01/04/2024 01:34,47.3,DAKAR,TRUE,2504.555556,NA,TRUE,"ICCAT, ACAP, IWC, NAMMCO",FALSE,NA,TRUE,29,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,SHENG HAI 17,412200978,CHN,fishing,trawlers,GIN,CONAKRY,01/01/2024 16:50,01/04/2024 13:11,2.8,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,47.1,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,DUX,630123009,GNB,fishing,trawlers,GNB,BISSAU,01/03/2024 21:18,01/05/2024 06:08,1.3,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,DUX,GNB,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,TIANG EI HU,412209083,CHN,fishing,fishing,GNB,BISSAU,01/02/2024 03:48,01/05/2024 08:49,3.2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,20.5,JU RONG YU 1,CHN,UNKNOWN,TRUE,#N/A,#N/A,Name unknown - not a match for the name assigned to this MMSI in HIS
,,,,,,Yes,No,Yes,BRAZIL,266154000,SWE,fishing,trawlers,SEN,DAKAR,12/30/23 2:07,01/05/2024 17:13,6.6,DAKAR,TRUE,1155.563889,GMB,FALSE,"ACAP, SRFC, ICCAT, NAMMCO, IWC",FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,CURBEIRO,224106000,ESP,fishing,trawlers,SEN,DAKAR,12/06/2023 19:21,01/06/2024 07:56,30.5,DAKAR,TRUE,9546.316667,"SEN, GNB",FALSE,"ACAP, NAMMCO, IWC, SRFC, ICCAT",FALSE,NA,TRUE,2,TRUE,100,CURBEIRO,ESP,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,YUAN YU 886,412549331,CHN,fishing,inconclusive,GNB,BISSAU,01/04/2024 16:35,01/06/2024 08:12,1.6,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,YUAN YU 885,412549329,CHN,fishing,fishing,GNB,BISSAU,01/04/2024 17:00,01/06/2024 08:28,1.6,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,YUAN YU 884,412549328,CHN,fishing,inconclusive,GNB,BISSAU,01/04/2024 17:05,01/06/2024 08:32,1.6,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,YUAN YU 887,412549332,CHN,fishing,trawlers,GNB,BISSAU,01/04/2024 17:37,01/06/2024 08:35,1.6,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,SEA FRONTIER,632001009,GIN,fishing,tuna_purse_seines,SEN,DAKAR,12/03/2023 18:43,01/08/2024 00:05,35.2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,14.2,SEA FRONTIER,GIN,Purse seine,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,WESTERO,266011000,SWE,fishing,trawlers,GMB,BANJUL,12/31/23 21:41,01/08/2024 04:02,7.3,DAKAR,TRUE,1504.702778,GMB,FALSE,"NAMMCO, SRFC, ICCAT, ACAP, IWC",FALSE,NA,TRUE,4,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,DIMITRIOS I,629009092,GMB,fishing,trawlers,SEN,DAKAR,12/16/23 18:07,01/08/2024 07:56,22.5,DAKAR,TRUE,4781.397222,GMB,FALSE,"SRFC, NAMMCO, ACAP, ICCAT, IWC",FALSE,NA,TRUE,4,TRUE,100,DIMITRIOS I,GMB,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,SHENG HAI 3 HAO,412723898,CHN,fishing,trawlers,GIN,CONAKRY,01/06/2024 15:26,01/08/2024 13:33,1.9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,68.1,SHENG HAI 3 HAO,CHN,UNKNOWN,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,KALYONCU 1,629009176,GMB,fishing,fishing,GMB,BANJUL,01/07/2024 23:49,01/08/2024 14:18,0.6,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,Trawler,,Yes,No,Yes,SHENGHAI15,412549334,CHN,fishing,fishing,GIN,CONAKRY,01/06/2024 19:19,01/08/2024 15:17,1.8,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,97.8,#N/A,#N/A,#N/A,,,Trawler,
,,,,Trawler,,Yes,No,Yes,SHENGHAI16,412549335,CHN,fishing,inconclusive,GIN,CONAKRY,01/06/2024 20:35,01/08/2024 15:56,1.8,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,Trawler,
,,,,,,Yes,No,Yes,KAO FONG NO817,416146700,TWN,fishing,drifting_longlines,ZAF,CAPE TOWN,07/12/2023 08:05,01/09/2024 02:52,180.8,DAKAR,TRUE,5482.2125,NA,TRUE,"IWC, ICCAT, ACAP, NAMMCO",TRUE,38,TRUE,28,TRUE,55.9,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,RUITAIFENG88,412217977,CHN,carrier,carrier,GIN,CONAKRY,01/07/2024 09:40,01/09/2024 07:37,1.9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,Pole and line,,Yes,No,Yes,F/V CORONA DEL MAR,228967000,FRA,fishing,fishing,SEN,DAKAR,01/07/2024 19:55,01/09/2024 10:22,1.6,DAKAR,TRUE,121.2916667,SEN,FALSE,"IWC, ACAP, NAMMCO, ICCAT, SRFC",FALSE,NA,FALSE,NA,TRUE,100,CORONA DEL MAR,FRA,Pole and line,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,CHAMYUAMYU11,412200988,CHN,fishing,trawlers,SEN,DAKAR,01/05/2024 01:50,01/09/2024 20:02,4.8,DAKAR,TRUE,124.1791667,SEN,FALSE,"SRFC, ACAP, ICCAT, IWC, NAMMCO",FALSE,NA,TRUE,2,TRUE,14.7,CHANGYUANYU 11,CHN,UNKNOWN,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,FUYUANYU368,412440263,CHN,fishing,trawlers,GIN,CONAKRY,01/08/2024 08:12,01/10/2024 05:21,1.9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,89.1,#N/A,#N/A,#N/A,,,,
,,,,,Keep,No,Yes,No,HAI FENG 823,412660240,CHN,carrier,carrier,GNB,BISSAU,01/08/2024 19:37,01/10/2024 05:50,1.4,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,85.7,HAI FENG 823,CHN,NA,TRUE,#N/A,#N/A,
,,,,Purse seine,,Yes,No,Yes,MONTERAIOLA,224742000,ESP,fishing,inconclusive,CIV,ABIDJAN,12/27/23 17:00,01/10/2024 07:31,13.6,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1.3,MONTERAIOLA,ESP,Purse seine,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,GUOJIN901,412549196,CHN,fishing,trawlers,SEN,DAKAR,12/25/23 17:30,01/10/2024 10:36,15.7,DAKAR,TRUE,2448.029167,SEN,FALSE,"IWC, NAMMCO, SRFC, ACAP, ICCAT",FALSE,NA,TRUE,4,TRUE,79.3,GUOJIN901,CHN,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,ZHEN YUAN YU 820,412420887,CHN,other,other,GIN,CONAKRY,01/09/2024 13:26,01/11/2024 16:02,2.1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,ZHEN YUAN YU 828,412420878,CHN,fishing,inconclusive,GIN,CONAKRY,01/09/2024 13:30,01/11/2024 16:05,2.1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,Pole and line,,Yes,No,Yes,PILAR TORRE,224896000,ESP,fishing,inconclusive,SEN,DAKAR,12/23/23 11:40,01/12/2024 10:32,19.9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2.9,PILAR TORRE,ESP,Pole and line,TRUE,#N/A,#N/A,
,,,,Pole and line,,Yes,No,Yes,F/V CORONA DEL MAR,228967000,FRA,fishing,fishing,SEN,DAKAR,01/10/2024 14:30,1/13/24 10:48,2.8,DAKAR,TRUE,435.9458333,SEN,FALSE,"NAMMCO, SRFC, ACAP, IWC, ICCAT",FALSE,NA,FALSE,NA,TRUE,100,CORONA DEL MAR,FRA,Pole and line,TRUE,#N/A,#N/A,
Check - no AIS data available on TMT side,,,,Trawler,We have no data for this MMSI in this period,No,No,No,FUYUANYU367,412440262,CHN,fishing,inconclusive,SEN,DAKAR,11/28/23 3:56,1/14/24 3:22,47,DAKAR,TRUE,106.8402778,"GIN, SEN",FALSE,"IWC, SRFC, NAMMCO, ACAP, ICCAT",FALSE,NA,FALSE,NA,TRUE,0.6,#N/A,#N/A,#N/A,,,Trawler,
,,,Fishing vessel,,Keep,No,Yes,No,LURONGYUANYU216,412329514,CHN,other,other,GIN,CONAKRY,01/12/2024 13:10,1/14/24 15:36,2.1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,82.4,#N/A,#N/A,#N/A,,Fishing vessel,,
,,,,,Keep - interesting as previously unknown vessel. Track does not show obvious fishing pattern but calls into lots of fisheries-relevant ports in NW Africa,No,Yes,No,SUDO,629009188,GMB,other,other,TUR,TUZLA,10/25/23 16:59,1/15/24 6:34,81.5,DAKAR,TRUE,191.2077778,ESH,FALSE,"IWC, NAMMCO, ACAP, ICCAT",FALSE,NA,TRUE,2,TRUE,95.3,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,WESTERO,266011000,SWE,fishing,trawlers,SEN,DAKAR,01/10/2024 18:22,1/17/24 7:42,6.5,DAKAR,TRUE,1311.716667,GMB,FALSE,"NAMMCO, IWC, ACAP, SRFC, ICCAT",FALSE,NA,TRUE,2,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,EVERRICH 636,100902469,CIV,fishing,drifting_longlines,SEN,DAKAR,11/03/2023 10:22,1/18/24 10:30,76,DAKAR,TRUE,3189.678333,NA,TRUE,"IWC, ICCAT, ACAP, NAMMCO",TRUE,2,TRUE,36,TRUE,85.9,EVERRICH 636,CIV,Longline,TRUE,#N/A,#N/A,
,,,Fishing vessel,Trawler,,Yes,No,Yes,MENG XIN21,412209171,CHN,seismic_vessel,seismic_vessel,GIN,CONAKRY,1/16/24 20:22,1/18/24 19:19,1.9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,79.2,#N/A,#N/A,#N/A,,Fishing vessel,Trawler,
,,CHN,Fishing vessel,Trawler,Keep - intersting because of trips to outer edge of Guinea EEZ but not relevant to port visit as happened after,No,Yes,No,MENGXIN2O,412209169,NA,other,other,GIN,CONAKRY,1/16/24 20:13,1/18/24 19:28,2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,89.6,#N/A,#N/A,#N/A,,Fishing vessel,Trawler,
,,,Fishing vessel,Trawler,Keep,No,Yes,No,MENGX27,412209178,CHN,seismic_vessel,seismic_vessel,GIN,CONAKRY,1/16/24 20:43,1/18/24 19:31,1.9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,60.4,#N/A,#N/A,#N/A,,Fishing vessel,Trawler,
,,,,Trawler,,Yes,No,Yes,MENG XIN  28#,412209179,CHN,fishing,fishing,GIN,CONAKRY,1/16/24 20:10,1/18/24 19:41,2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,85.4,#N/A,#N/A,#N/A,,,Trawler,
,,,,,,Yes,No,Yes,MENGXIN23,412209173,CHN,fishing,trawlers,GIN,CONAKRY,1/16/24 23:18,1/18/24 20:09,1.8,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,65.2,MENG XIN 23,CHN,Trawler ,TRUE,#N/A,#N/A,
,,,,Trawler,,Yes,No,Yes,MX17,412209112,CHN,fishing,fishing,GIN,CONAKRY,12/12/2023 15:00,1/18/24 20:36,37.2,DAKAR,TRUE,978.7236111,GIN,FALSE,"IWC, NAMMCO, SRFC, ICCAT, ACAP",FALSE,NA,TRUE,12,NA,1.9,MENG XIN 17,CHN,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,MENGXIN19,412209168,CHN,fishing,trawlers,GIN,CONAKRY,1/16/24 20:08,1/18/24 20:38,2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,93.9,#N/A,#N/A,#N/A,,,,
,,,,Trawler,,Yes,No,Yes,MX22,412209172,CHN,fishing,fishing,GIN,CONAKRY,1/16/24 23:43,1/19/24 2:45,2.1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,50,#N/A,#N/A,#N/A,,,Trawler,
,,,,Purse seine,,Yes,No,Yes,LONG TAI  2,627227000,GHA,fishing,fishing,GHA,TEMA,01/12/2024 19:33,1/19/24 5:45,6.4,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,21.9,#N/A,#N/A,#N/A,,,Purse seine,
,,,,Trawler,,Yes,No,Yes,MENGXIN24,412209175,CHN,fishing,fishing,GIN,CONAKRY,01/12/2024 17:48,1/19/24 7:14,6.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,0.6,#N/A,#N/A,#N/A,,,Trawler,
,,,,,,Yes,No,Yes,SANTO DO MAR,224387000,ESP,fishing,trawlers,MRT,CANSADO,1/18/24 19:37,1/21/24 4:25,2.3,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,SANTO DO MAR,ESP,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,GUOJIN908,412549197,CHN,fishing,trawlers,SEN,DAKAR,01/05/2024 21:11,1/21/24 18:40,15.9,DAKAR,TRUE,3592.955556,"SEN, GMB",FALSE,"NAMMCO, IWC, ICCAT, ACAP, SRFC",FALSE,NA,TRUE,2,TRUE,80.9,GUOJIN908,CHN,Trawler,TRUE,#N/A,#N/A,
,,,,Trawler,,Yes,No,Yes,YANGMING8006,412209198,CHN,fishing,inconclusive,GNB,BISSAU,1/24/24 16:33,1/25/24 15:17,0.9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,95.8,#N/A,#N/A,#N/A,,,Trawler,
Check - no AIS data available on TMT side,,,,,We have no data past 19 Jan for this vessel,No,No,Yes,GUOJIN901,412549196,CHN,fishing,trawlers,SEN,DAKAR,01/12/2024 19:38,1/26/24 21:50,14.1,DAKAR,TRUE,1404.191667,SEN,FALSE,"NAMMCO, ICCAT, IWC, SRFC, ACAP",FALSE,NA,TRUE,1,TRUE,37.8,GUOJIN901,CHN,Trawler,TRUE,#N/A,#N/A,
Remove - diving vessel,,,,,Probably reject - looks like an ex Turkish PS that may now be operating as a commercial dive vessel?,No,No,Yes,KALYONCU 1,629009176,GMB,fishing,fishing,SEN,DAKAR,1/26/24 23:57,1/27/24 2:13,0.1,DAKAR,TRUE,35.6625,SEN,FALSE,"NAMMCO, ACAP, SRFC, ICCAT, IWC",FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,WESTERO,266011000,SWE,fishing,trawlers,SEN,DAKAR,1/19/24 8:47,1/28/24 4:52,8.8,DAKAR,TRUE,1037.275,GMB,FALSE,"NAMMCO, ACAP, IWC, SRFC, ICCAT",FALSE,NA,TRUE,1,TRUE,59.6,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,CURBEIRO,224106000,ESP,fishing,trawlers,SEN,DAKAR,01/10/2024 04:06,1/28/24 12:49,18.3,DAKAR,TRUE,5653.891667,SEN,FALSE,"IWC, ICCAT, ACAP, SRFC, NAMMCO",FALSE,NA,TRUE,2,TRUE,98.4,CURBEIRO,ESP,Trawler,TRUE,#N/A,#N/A,
,,,,,Keep,No,Yes,No,FUJI BAY,636013651,LBR,carrier,carrier,NLD,IJMUIDEN,1/13/24 3:54,1/29/24 7:34,16.1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
Remove - sources indicate it was in port prior to 01/01 but pinging v. infrequently,,,,Trawler,Remove - sources indicate it was previously in port but pinging very infrequently,No,Yes,No,SHENGHANG806,412209208,CHN,gear,gear,SEN,DAKAR,5/20/19 12:46,1/29/24 22:58,1715.4,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,0.3,SHENGHANG806,CHN,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,CYYU2,412200985,CHN,fishing,trawlers,SEN,DAKAR,1/28/24 13:39,1/29/24 23:41,1.4,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,14.3,CHANG YUAN YU 2,CHN,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,NO.211DONG WON,440782000,KOR,fishing,drifting_longlines,MUS,PORT LOUIS,11/11/2023 11:00,1/30/24 5:59,79.8,DAKAR,TRUE,1850.4875,NA,TRUE,"ACAP, IWC, SIOFA, NAMMCO, CCSBT, ICCAT, IOTC",TRUE,2,TRUE,35,TRUE,100,DONG WON NO. 211,KOR,Longline,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,JOMAFRAN SEGUNDO,225995265,ESP,fishing,trawlers,MRT,CANSADO,1/30/24 2:23,1/31/24 18:57,1.7,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,ALFONSO RIERA TERCER,224282000,ESP,fishing,trawlers,MRT,CANSADO,1/30/24 2:26,1/31/24 19:17,1.7,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,ALFONSO RIERA TERCERO,ESP,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,MAMATI ORHAN,271072472,TUR,fishing,other_purse_seines,GMB,BANJUL,1/31/24 16:02,02/01/2024 03:42,0.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,,,
,IB FISH 2,,Fishing vessel,,,Yes,No,Yes,GRAND OCEAN 1,629009148,GMB,other,other,GMB,BANJUL,1/31/24 16:13,02/01/2024 03:49,0.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100,#N/A,#N/A,#N/A,,Fishing vessel,,
