"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","dak_general","dak_fishing","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"AFRICAN DIPPER","311001215","BHS","BHS","9733260","carrier","low","other","other","ZAF","RICHARDS BAY",2025-03-30 09:56:44,4,2025-04-17 14:42:42,4,18.2,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0d9c2193a-a7f6-2517-1a32-a5d5f13936bf?&start=2025-03-28&end=2025-04-19"")"
"EGALABUR","312078000","BLZ","BLZ","9710995","fishing","low","cargo","cargo","SEN","DAKAR",2025-03-05 09:26:57,4,2025-04-24 15:48:18,4,50.3,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,TRUE,1,TRUE,2,TRUE,3,4.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-03-03&end=2025-04-26"")"
"PLAYA DE LAGA","312360000","BLZ","BLZ","9719800","fishing","med","fishing","inconclusive","SEN","DAKAR",2025-04-18 14:04:01,4,2025-05-03 06:20:29,4,14.7,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,TRUE,1,16.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc6b54a24-4542-6ce9-1e91-d4f17daeeda5?&start=2025-04-16&end=2025-05-05"")"
"LUQINGYUANYU 056","412200985","CHN","CHN",NA,"fishing","high","fishing","fishing","SEN","DAKAR",2025-05-13 18:13:47,3,2025-05-22 22:42:34,3,9.2,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/24429b464-4509-5459-faa7-a7b92a4efeef?&start=2025-05-11&end=2025-05-24"")"
"YIFENG7","412200996","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-05-24 01:49:31,4,2025-05-24 18:30:54,4,0.7,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,16.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e0d511224-49a9-8047-a2ed-4fc1d0aaf626?&start=2025-05-22&end=2025-05-26"")"
"YIFENG 09","412200998","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-04-10 22:23:40,4,2025-04-22 11:07:32,4,11.5,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,10,FALSE,0,48.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/25ecd2d23-37dd-a0cd-0b59-a2fc2e477601?&start=2025-04-08&end=2025-04-24"")"
"YIFENG 09","412200998","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-03-23 21:16:59,4,2025-04-09 14:35:13,4,16.7,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,11,FALSE,0,41.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/25ecd2d23-37dd-a0cd-0b59-a2fc2e477601?&start=2025-03-21&end=2025-04-11"")"
"YIFENG 09","412200998","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-04-23 18:24:39,4,2025-05-08 15:48:51,4,14.9,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,10,FALSE,0,26.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/25ecd2d23-37dd-a0cd-0b59-a2fc2e477601?&start=2025-04-21&end=2025-05-10"")"
"YIFENG10","412200999","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-05-30 13:39:58,4,2025-06-24 00:58:23,4,24.5,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,2.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5de9be58-8b54-b6da-c3b6-408c3c806ce8?&start=2025-05-28&end=2025-06-26"")"
"HAIXIN24","412201867","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-04-22 17:46:43,4,2025-05-09 05:53:22,4,16.5,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/649fbfa0c-c22b-397c-19b9-34de539b3def?&start=2025-04-20&end=2025-05-11"")"
"HAIXIN24","412201867","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-24 16:51:22,4,2025-06-29 15:40:22,3,4.9,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/649fbfa0c-c22b-397c-19b9-34de539b3def?&start=2025-06-22&end=2025-07-01"")"
"HAIXIN26","412201869","CHN","CHN",NA,"fishing","high","fishing","trawlers","CHN","SHIDAO",2015-11-30 06:11:11,4,2025-04-20 15:52:18,4,3429.4,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b27dc5673-317a-b2d9-a4a9-e1a3e406ce32?&start=2015-11-28&end=2025-04-22"")"
"YIFENG21","412209011","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-05 12:01:01,4,2025-06-27 11:52:26,4,22,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2025-06-03&end=2025-06-29"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-05-08 19:44:18,4,2025-05-25 02:12:31,4,16.3,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,8,FALSE,0,52.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-05-06&end=2025-05-27"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-04-23 01:41:25,4,2025-05-07 13:11:09,4,14.5,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,11,FALSE,0,32.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-04-21&end=2025-05-09"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-05-26 12:34:55,4,2025-06-14 03:56:34,4,18.6,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,5,FALSE,0,5.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-05-24&end=2025-06-16"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-04-06 19:56:46,4,2025-04-21 14:12:38,4,14.8,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,9,FALSE,0,68.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-04-04&end=2025-04-23"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-03-21 17:49:19,4,2025-04-05 21:12:54,4,15.1,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,9,FALSE,0,47.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-03-19&end=2025-04-07"")"
"YIFENG28","412209126","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-04-01 11:45:51,4,2025-04-10 01:34:45,4,8.5,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,2,FALSE,0,7.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e37cb040b-bbe1-3f3c-c4fc-69d978402d3f?&start=2025-03-30&end=2025-04-12"")"
