Action,Rationale (Remove / Check),Name,Flag,Vessel type,Gear type,Confidence 2 port visits check,TMT notes,vessel_name,MMSI,Flag2,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_end,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage
IDENTITY CHANGE,,,,,Purse seiner,,,PLAYA DE LAGA,312360000,BLZ,fishing,inconclusive,CIV,ABIDJAN,7/19/24 18:55,8/31/24 9:25,"42,6",ABIDJAN,TRUE,"608,6888889","GHA, GAB",TRUE,"FCWC, ICCAT, ACAP, NAMMCO, COREP, IWC",FALSE,NA,TRUE,31,NA,"48,2"
,,,,,,,,PANOFI FORE RUNNER,627072000,GHA,fishing,tuna_purse_seines,GHA,TEMA,7/3/24 20:38,7/20/24 13:32,"16,7",ABIDJAN,TRUE,"424,1230556",GHA,TRUE,"NAMMCO, FCWC, ACAP, ICCAT, IWC",FALSE,NA,TRUE,26,NA,"99,8"
IDENTITY CHANGE,,BAO LUCKY,,,,,,AVRA,312756000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,8/4/24 9:28,9/1/24 5:40,"27,8",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"0,4"
,,,,,,,,ZUBEROA,224587000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,8/8/24 16:00,8/13/24 11:15,"4,8",ABIDJAN,TRUE,"98,03777778",CIV,TRUE,"NAMMCO, FCWC, ACAP, IWC, ICCAT",TRUE,1,TRUE,3,NA,"69,8"
,,,,,,,,F/V STERENN,226180000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,6/6/24 14:37,7/8/24 17:14,"32,1",ABIDJAN,TRUE,"113,6458333","CIV, GAB",FALSE,"COREP, NAMMCO, IWC, ICCAT, ACAP, FCWC",TRUE,2,TRUE,6,NA,NA
,,,,,,,,ATLANTIC GLORY,312864000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,7/20/24 14:50,8/25/24 8:46,"35,7",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"7,3"
IDENTITY CHANGE,,BAO LUCKY,,,,,,AVRA,312756000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,7/5/24 10:26,7/30/24 8:21,"24,9",ABIDJAN,TRUE,"6,308333333",NA,TRUE,"IWC, ICCAT, ACAP",FALSE,NA,FALSE,NA,NA,"6,8"
,,,,,,,,ZUBEROA,224587000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,8/14/24 5:43,9/11/24 5:55,28,ABIDJAN,TRUE,"6,716666667",NA,TRUE,"ICCAT, ACAP, IWC",FALSE,NA,TRUE,2,NA,"6,5"
,,,,,,,,F/V GUEOTEC,227549000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,8/2/24 7:55,8/15/24 7:50,13,ABIDJAN,TRUE,"40,875",CIV,FALSE,"ICCAT, IWC, ACAP, NAMMCO, FCWC",TRUE,2,TRUE,2,NA,"5,8"
IDENTITY CHANGE,,,,Fishing vessel,Purse seiner,,,JC GLORIA,312155000,BLZ,cargo,cargo,CIV,ABIDJAN,8/9/24 5:34,8/11/24 6:50,2,ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
IDENTITY CHANGE,,,,Fishing vessel,Purse seiner,,,DICHA UNO,312697000,BLZ,cargo,cargo,GHA,TEMA,9/20/24 9:10,9/24/24 13:20,"4,2",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"30,7"
,,,,,,,,ATLANTIC GLORY,312864000,BLZ,fishing,tuna_purse_seines,GHA,TEMA,6/18/24 18:53,7/10/24 8:05,"21,5",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
IDENTITY CHANGE,,,,,Purse seiner,,,PLAYA DE LAGA,312360000,BLZ,fishing,inconclusive,CIV,ABIDJAN,7/4/24 20:49,7/18/24 6:55,"13,4",ABIDJAN,TRUE,"133,8736111",CIV,FALSE,"FCWC, ACAP, ICCAT, NAMMCO, IWC",FALSE,NA,TRUE,4,NA,"24,8"
,,,,,,,,F/V ALBACORA QUINCE,224727000,ESP,fishing,tuna_purse_seines,CIV,PORT BOUET ANCHORAGE,9/16/24 9:32,9/16/24 11:20,0,ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
IDENTITY CHANGE,,,,,Purse seiner,,,SYDNEY SOFIA,356262000,PAN,fishing,inconclusive,CIV,ABIDJAN,7/23/24 9:23,8/1/24 6:09,"8,8",ABIDJAN,TRUE,"144,0155556","SLE, LBR, CIV",TRUE,"ICCAT, SRFC, IWC, FCWC, ACAP, NAMMCO",FALSE,NA,TRUE,8,NA,"95,8"
,,,,,,,,VOLTA GLORY,627047000,GHA,carrier,carrier,GHA,TEMA,8/31/24 10:02,9/2/24 10:38,2,ABIDJAN,FALSE,NA,NA,FALSE,NA,TRUE,1,FALSE,NA,NA,100
,,,,,,,,F/V GUEOTEC,227549000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,8/16/24 7:55,9/9/24 5:35,"23,9",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,5
IDENTITY CHANGE,,,,,Purse seiner,,,PLAYA DE LAGA,312360000,BLZ,fishing,inconclusive,CIV,ABIDJAN,9/11/24 14:44,9/27/24 16:14,16,ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"2,6"
,,,,,,,,LONG TAI 1,627221000,GHA,fishing,tuna_purse_seines,GHA,SEKONDI-TAKORADI,9/25/24 17:05,9/26/24 17:45,1,ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
,,,,,,,,MONTEFRISA NUEVE,359101000,SLV,fishing,tuna_purse_seines,CIV,ABIDJAN,6/7/24 19:48,7/25/24 6:09,"47,4",ABIDJAN,TRUE,"428,9966667","CIV, GAB",TRUE,"ICCAT, ACAP, IWC, FCWC, COREP, NAMMCO",TRUE,4,TRUE,36,NA,NA
,,,,,,,,GOLFO DE FONSECA,359081220,SLV,support,purse_seine_support,CIV,ABIDJAN,6/10/24 16:50,8/12/24 6:38,"62,5",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,NA,NA
IDENTITY CHANGE,,,,,Purse seiner,,confirmation ?,LONG TAI  2,627227000,GHA,fishing,fishing,GHA,TEMA,7/20/24 15:35,8/16/24 6:15,"26,6",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"4,4"
CHECK/REMOVE,The vessel appears to be in Abidjan port beteween July-Sept 2024 with possible AIS GAP- Possible remove vessel,,,,,,,HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,8/2/24 8:26,8/3/24 6:33,"0,9",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"8,7"
