ssvid,vessel_id,trip_start,trip_end,trip_start_anchorage_id,trip_end_anchorage_id,trip_start_visit_id,trip_end_visit_id,trip_start_confidence,trip_end_confidence,trip_id,year,ssvid_1,vessel_name,flag,vessel_class,first_timestamp,last_timestamp
247110330,d96c51da5-5132-d4c5-84a4-2dec87ab5629,2023-08-17T16:00:46Z,2023-09-10T09:41:07Z,0ec176c1,0ec176c1,65002947ec7e425a21713a182831c279,6e6341148924744619c7194077fe6fac,4,4,247110330-d96c51da5-5132-d4c5-84a4-2dec87ab5629-018a043a53b0,2023,247110330,SALVATOREPRIMO,ITA,fishing,2017-02-25T19:05:47Z,2023-09-30T23:43:20Z
416121900,68f33de53-3365-b709-854c-1f425f41a561,2022-09-06T01:36:33Z,2023-09-12T08:41:05Z,31d0ae91,0ec1741b,b65dea669b0f4cf7a1873a956d9f327a,1e1aca31ef27d172bb941c4809235b30,4,4,416121900-68f33de53-3365-b709-854c-1f425f41a561-0183107123d6,2023,416121900,CHUNFA888,TWN,fishing,2022-03-09T01:50:42Z,2023-09-26T22:52:11Z
228967000,225be91ff-f744-cd74-80d0-163ad2a6d887,2023-09-12T18:13:18Z,2023-09-12T19:40:06Z,0ec174db,0ec174db,20b8dbc086dcecfe552b9e2d8f274bef,70746dd96826c1c8d4fa0cd2b3d72684,4,4,228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018a8a990230,2023,228967000,CORONADELMAR,FRA,fishing,2018-09-28T11:02:51Z,2023-09-30T18:41:31Z
224745000,818356b57-7844-a4ae-919e-36a06ae5a84a,2023-08-28T19:06:48Z,2023-09-13T10:58:14Z,0ec1741b,0ec1741b,7a87ee19173941d3818673547001d7c4,ff3abce05080ad0458626eea39274676,4,4,224745000-818356b57-7844-a4ae-919e-36a06ae5a84a-018a3d8a9940,2023,224745000,ALBONIGA,ESP,fishing,2023-02-02T21:30:22Z,2023-09-17T12:53:12Z
228967000,225be91ff-f744-cd74-80d0-163ad2a6d887,2023-09-13T15:39:24Z,2023-09-13T16:19:55Z,0ec175b3,0ec174db,70746dd96826c1c8d4fa0cd2b3d72684,c274e6c5031bd97ca447ba511e7382ce,4,4,228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018a8f3277e0,2023,228967000,CORONADELMAR,FRA,fishing,2018-09-28T11:02:51Z,2023-09-30T18:41:31Z
224019630,05e925ed5-5b41-4afa-67da-0272bce81f08,2023-08-23T06:54:48Z,2023-09-15T02:58:09Z,0ec173b1,0ec1741b,22593e389ab463fb92af18a750af1987,939940340ab57a81317b4636cc8d01fe,4,4,224019630-05e925ed5-5b41-4afa-67da-0272bce81f08-018a212ca2c0,2023,224019630,IRIBARZULAIKA,ESP,fishing,2022-02-25T09:52:48Z,2023-09-30T23:20:52Z
416348000,d939bd7fb-b9ee-3aa9-ff1c-2edd9e416c3f,2022-12-17T13:21:20Z,2023-09-15T09:57:46Z,8fab13c9,0ec176c1,049d930c853b6fc9e1882e23d23ecf22,9f9e905989ea98d71f56f61bd77cdf8a,4,4,416348000-d939bd7fb-b9ee-3aa9-ff1c-2edd9e416c3f-0185203f0880,2023,416348000,CHUNFA999,TWN,fishing,2021-06-23T01:54:08Z,2023-09-19T22:15:35Z
412209196,f23a6145b-bb7f-8e7e-5c7e-61a9e335f577,2023-09-01T11:06:11Z,2023-09-16T16:56:52Z,0ec176c1,0ec176c1,40d66cc182aaa2a8a466ae4d66ad8ea6,d5e94b62afd3deb92f129524825069f8,4,4,412209196-f23a6145b-bb7f-8e7e-5c7e-61a9e335f577-018a506c04b8,2023,412209196,YANGMIN8002,CHN,fishing,2022-09-11T15:36:38Z,2023-09-26T11:49:53Z
224580000,a0aa90604-4562-1097-2a1e-56ca4a57e84f,2023-08-26T12:09:26Z,2023-09-16T21:48:00Z,0ec176bf,0ec1741b,f7a73ccdb03c3dcc50c8d066e8962510,e6d0837c613762255953b7164119eea8,4,4,224580000-a0aa90604-4562-1097-2a1e-56ca4a57e84f-018a31bfc4f0,2023,224580000,EGALUZE,ESP,fishing,2022-04-03T15:06:00Z,2023-09-30T02:51:48Z
224896000,b8f7f1240-0e98-18c8-b3c7-9b5c0d818d7b,2023-09-17T09:11:52Z,2023-09-17T12:38:27Z,0ec1746f,0ec17411,60f87de2e8e77c9ba129fd002c2e3206,f0193fc510fe2a867e0b36cae89a4ebd,4,4,224896000-b8f7f1240-0e98-18c8-b3c7-9b5c0d818d7b-018aa2691bc0,2023,224896000,PILARTORRE,ESP,fishing,2021-07-21T11:50:35Z,2023-09-29T08:55:25Z
416126800,757d0085f-fae8-1626-0faf-f2aae650d4c1,2023-06-03T02:55:21Z,2023-09-17T14:40:36Z,0ec1741b,0ec17411,f97a7f6f5d0627ab3616adcba327fb3c,d69af29a4995e941b157ff11fd59d468,4,4,416126800-757d0085f-fae8-1626-0faf-f2aae650d4c1-01887f2e4da8,2023,416126800,YINGCHINHSIANG101,TWN,fishing,2019-03-07T07:32:14Z,2023-09-30T23:26:55Z
412209195,a8625c39a-a471-45c0-218d-12f3cb9b5706,2023-09-03T18:31:25Z,2023-09-17T17:42:40Z,0ec176bf,0ec176c1,203b87a91f1b88366d97d23deb21748e,80910270b9fd8007871f34d4046fb216,4,4,412209195-a8625c39a-a471-45c0-218d-12f3cb9b5706-018a5c505c48,2023,412209195,YANGMING8001,CHN,fishing,2023-07-06T00:13:23Z,2023-09-18T23:53:51Z
